School.List,State,Year,ST.Total.Men,ST.Total.Women,ST.Total.AGI,ST.Total,percent_men,percent_women,percent_agi,men_change,women_change,agi_change
CATHOLIC UNIVERSITY OF AMERICA,DISTRICT OF COLUMBIA,2018,31,62,0,93,33.33333333,66.66666667,0,-6.028368794,6.028368794,0
CATHOLIC UNIVERSITY OF AMERICA,DISTRICT OF COLUMBIA,2019,41,60,0,101,40.59405941,59.40594059,0,7.260726073,-7.260726073,0
CATHOLIC UNIVERSITY OF AMERICA,DISTRICT OF COLUMBIA,2020,46,65,0,111,41.44144144,58.55855856,0,0.847382036,-0.847382036,0
CATHOLIC UNIVERSITY OF AMERICA,DISTRICT OF COLUMBIA,2021,58,92,0,150,38.66666667,61.33333333,0,-2.774774775,2.774774775,0
CATHOLIC UNIVERSITY OF AMERICA,DISTRICT OF COLUMBIA,2022,51,74,0,125,40.8,59.2,0,2.133333333,-2.133333333,0
CATHOLIC UNIVERSITY OF AMERICA,DISTRICT OF COLUMBIA,2023,56,53,0,110,50.90909091,48.18181818,0,10.10909091,-11.01818182,0
CHAPMAN UNIVERSITY,CALIFORNIA,2017,61,96,0,157,38.85350318,61.14649682,0,NA,NA,NA
CHAPMAN UNIVERSITY,CALIFORNIA,2018,56,78,0,134,41.79104478,58.20895522,0,2.937541591,-2.937541591,0
CHAPMAN UNIVERSITY,CALIFORNIA,2019,63,80,0,143,44.05594406,55.94405594,0,2.26489928,-2.26489928,0
CHAPMAN UNIVERSITY,CALIFORNIA,2020,65,75,0,140,46.42857143,53.57142857,0,2.372627373,-2.372627373,0
CHAPMAN UNIVERSITY,CALIFORNIA,2021,67,79,0,146,45.89041096,54.10958904,0,-0.53816047,0.53816047,0
CHAPMAN UNIVERSITY,CALIFORNIA,2022,58,75,0,133,43.60902256,56.39097744,0,-2.281388403,2.281388403,0
CHAPMAN UNIVERSITY,CALIFORNIA,2023,47,64,0,111,42.34234234,57.65765766,0,-1.266680214,1.266680214,0
CHARLESTON SCHOOL OF LAW,SOUTH CAROLINA,2017,157,163,0,320,49.0625,50.9375,0,NA,NA,NA
CHARLESTON SCHOOL OF LAW,SOUTH CAROLINA,2018,72,110,0,182,39.56043956,60.43956044,0,-9.50206044,9.50206044,0
CHARLESTON SCHOOL OF LAW,SOUTH CAROLINA,2019,94,118,0,212,44.33962264,55.66037736,0,4.779183081,-4.779183081,0
CHARLESTON SCHOOL OF LAW,SOUTH CAROLINA,2020,86,96,0,182,47.25274725,52.74725275,0,2.913124611,-2.913124611,0
CHARLESTON SCHOOL OF LAW,SOUTH CAROLINA,2021,80,162,0,242,33.05785124,66.94214876,0,-14.19489601,14.19489601,0
CHARLESTON SCHOOL OF LAW,SOUTH CAROLINA,2022,67,123,0,190,35.26315789,64.73684211,0,2.205306655,-2.205306655,0
CHARLESTON SCHOOL OF LAW,SOUTH CAROLINA,2023,56,158,0,214,26.1682243,73.8317757,0,-9.094933596,9.094933596,0
"CHICAGO, UNIVERSITY OF",ILLINOIS,2017,90,92,0,182,49.45054945,50.54945055,0,NA,NA,NA
"CHICAGO, UNIVERSITY OF",ILLINOIS,2018,102,84,0,186,54.83870968,45.16129032,0,5.388160227,-5.388160227,0
"CHICAGO, UNIVERSITY OF",ILLINOIS,2019,92,98,1,191,48.16753927,51.30890052,0.523560209,-6.67117041,6.147610201,0.523560209
"CHICAGO, UNIVERSITY OF",ILLINOIS,2020,93,86,1,180,51.66666667,47.77777778,0.555555556,3.4991274,-3.531122746,0.031995346
"CHICAGO, UNIVERSITY OF",ILLINOIS,2021,89,91,0,180,49.44444444,50.55555556,0,-2.222222222,2.777777778,-0.555555556
"CHICAGO, UNIVERSITY OF",ILLINOIS,2022,103,91,0,194,53.09278351,46.90721649,0,3.648339061,-3.648339061,0
"CHICAGO, UNIVERSITY OF",ILLINOIS,2023,88,87,0,175,50.28571429,49.71428571,0,-2.807069219,2.807069219,0
CHICAGO-KENT COLLEGE OF LAW-IIT,ILLINOIS,2017,117,103,0,220,53.18181818,46.81818182,0,NA,NA,NA
CHICAGO-KENT COLLEGE OF LAW-IIT,ILLINOIS,2018,111,113,0,224,49.55357143,50.44642857,0,-3.628246753,3.628246753,0
CHICAGO-KENT COLLEGE OF LAW-IIT,ILLINOIS,2019,102,123,0,225,45.33333333,54.66666667,0,-4.220238095,4.220238095,0
CHICAGO-KENT COLLEGE OF LAW-IIT,ILLINOIS,2020,101,118,2,221,45.70135747,53.39366516,0.904977376,0.368024133,-1.273001508,0.904977376
CHICAGO-KENT COLLEGE OF LAW-IIT,ILLINOIS,2021,94,143,1,238,39.49579832,60.08403361,0.420168067,-6.205559147,6.690368455,-0.484809308
CHICAGO-KENT COLLEGE OF LAW-IIT,ILLINOIS,2022,98,124,3,225,43.55555556,55.11111111,1.333333333,4.059757236,-4.972922502,0.913165266
CHICAGO-KENT COLLEGE OF LAW-IIT,ILLINOIS,2023,79,122,3,206,38.34951456,59.22330097,1.45631068,-5.206040992,4.11218986,0.122977346
"CINCINNATI, UNIVERSITY OF",OHIO,2017,40,45,0,85,47.05882353,52.94117647,0,NA,NA,NA
"CINCINNATI, UNIVERSITY OF",OHIO,2018,62,63,0,125,49.6,50.4,0,2.541176471,-2.541176471,0
"CINCINNATI, UNIVERSITY OF",OHIO,2019,52,77,0,129,40.31007752,59.68992248,0,-9.289922481,9.289922481,0
"CINCINNATI, UNIVERSITY OF",OHIO,2020,61,68,1,130,46.92307692,52.30769231,0.769230769,6.612999404,-7.382230173,0.769230769
"CINCINNATI, UNIVERSITY OF",OHIO,2021,58,65,0,123,47.15447154,52.84552846,0,0.231394622,0.537836148,-0.769230769
"CINCINNATI, UNIVERSITY OF",OHIO,2022,44,71,0,126,34.92063492,56.34920635,0,-12.23383662,3.503677894,0
"CINCINNATI, UNIVERSITY OF",OHIO,2023,48,62,0,115,41.73913043,53.91304348,0,6.818495514,-2.436162871,0
CITY UNIVERSITY OF NEW YORK,NEW YORK,2017,76,101,0,177,42.93785311,57.06214689,0,NA,NA,NA
CITY UNIVERSITY OF NEW YORK,NEW YORK,2018,83,117,5,205,40.48780488,57.07317073,2.43902439,-2.450048229,0.011023839,2.43902439
CITY UNIVERSITY OF NEW YORK,NEW YORK,2019,72,139,5,216,33.33333333,64.35185185,2.314814815,-7.154471545,7.27868112,-0.124209575
CITY UNIVERSITY OF NEW YORK,NEW YORK,2020,61,144,3,208,29.32692308,69.23076923,1.442307692,-4.006410256,4.878917379,-0.872507123
CITY UNIVERSITY OF NEW YORK,NEW YORK,2021,59,142,5,206,28.6407767,68.93203883,2.427184466,-0.686146378,-0.298730396,0.984876774
CITY UNIVERSITY OF NEW YORK,NEW YORK,2022,65,133,18,218,29.81651376,61.00917431,8.256880734,1.175737062,-7.922864523,5.829696268
CITY UNIVERSITY OF NEW YORK,NEW YORK,2023,60,135,15,214,28.03738318,63.08411215,7.009345794,-1.779130584,2.074937838,-1.24753494
CLEVELAND STATE UNIVERSITY,OHIO,2017,67,61,0,128,52.34375,47.65625,0,NA,NA,NA
CLEVELAND STATE UNIVERSITY,OHIO,2018,66,67,0,133,49.62406015,50.37593985,0,-2.71968985,2.71968985,0
CLEVELAND STATE UNIVERSITY,OHIO,2019,69,72,0,141,48.93617021,51.06382979,0,-0.687889938,0.687889938,0
CLEVELAND STATE UNIVERSITY,OHIO,2020,66,68,0,134,49.25373134,50.74626866,0,0.317561131,-0.317561131,0
CLEVELAND STATE UNIVERSITY,OHIO,2021,55,73,0,128,42.96875,57.03125,0,-6.284981343,6.284981343,0
CLEVELAND STATE UNIVERSITY,OHIO,2022,54,75,0,129,41.86046512,58.13953488,0,-1.108284884,1.108284884,0
CLEVELAND STATE UNIVERSITY,OHIO,2023,61,74,1,138,44.20289855,53.62318841,0.724637681,2.342433434,-4.516346478,0.724637681
"COLORADO, UNIVERSITY OF",COLORADO,2017,88,92,0,180,48.88888889,51.11111111,0,NA,NA,NA
"COLORADO, UNIVERSITY OF",COLORADO,2018,75,91,0,166,45.18072289,54.81927711,0,-3.708165997,3.708165997,0
"COLORADO, UNIVERSITY OF",COLORADO,2019,76,94,0,170,44.70588235,55.29411765,0,-0.474840539,0.474840539,0
"COLORADO, UNIVERSITY OF",COLORADO,2020,89,86,2,177,50.28248588,48.58757062,1.129943503,5.576603523,-6.706547026,1.129943503
"COLORADO, UNIVERSITY OF",COLORADO,2021,75,92,0,167,44.91017964,55.08982036,0,-5.372306235,6.502249738,-1.129943503
"COLORADO, UNIVERSITY OF",COLORADO,2022,67,91,3,161,41.61490683,56.52173913,1.863354037,-3.295272808,1.431918771,1.863354037
"COLORADO, UNIVERSITY OF",COLORADO,2023,64,100,4,168,38.0952381,59.52380952,2.380952381,-3.519668737,3.002070393,0.517598344
COLUMBIA UNIVERSITY,NEW YORK,2017,170,170,0,340,50,50,0,NA,NA,NA
COLUMBIA UNIVERSITY,NEW YORK,2018,187,175,0,362,51.65745856,48.34254144,0,1.657458564,-1.657458564,0
COLUMBIA UNIVERSITY,NEW YORK,2019,162,136,1,299,54.18060201,45.48494983,0.334448161,2.523143443,-2.857591604,0.334448161
COLUMBIA UNIVERSITY,NEW YORK,2020,165,169,1,335,49.25373134,50.44776119,0.298507463,-4.926870663,4.962811361,-0.035940698
COLUMBIA UNIVERSITY,NEW YORK,2021,204,195,5,404,50.4950495,48.26732673,1.237623762,1.241318162,-2.180434461,0.9391163
COLUMBIA UNIVERSITY,NEW YORK,2022,157,165,0,325,48.30769231,50.76923077,0,-2.187357197,2.501904037,-1.237623762
COLUMBIA UNIVERSITY,NEW YORK,2023,148,174,0,330,44.84848485,52.72727273,0,-3.459207459,1.958041958,0
"CONNECTICUT, UNIVERSITY OF",CONNECTICUT,2017,86,75,0,161,53.41614907,46.58385093,0,NA,NA,NA
"CONNECTICUT, UNIVERSITY OF",CONNECTICUT,2018,63,67,0,130,48.46153846,51.53846154,0,-4.954610607,4.954610607,0
"CONNECTICUT, UNIVERSITY OF",CONNECTICUT,2019,69,80,0,149,46.30872483,53.69127517,0,-2.152813629,2.152813629,0
"CONNECTICUT, UNIVERSITY OF",CONNECTICUT,2020,66,88,0,154,42.85714286,57.14285714,0,-3.451581975,3.451581975,0
"CONNECTICUT, UNIVERSITY OF",CONNECTICUT,2021,56,90,1,147,38.0952381,61.2244898,0.680272109,-4.761904762,4.081632653,0.680272109
"CONNECTICUT, UNIVERSITY OF",CONNECTICUT,2022,52,86,0,138,37.68115942,62.31884058,0,-0.414078675,1.094350784,-0.680272109
"CONNECTICUT, UNIVERSITY OF",CONNECTICUT,2023,58,82,1,141,41.13475177,58.15602837,0.709219858,3.453592353,-4.162812211,0.709219858
COOLEY LAW SCHOOL,NA,2017,243,321,1,565,43.00884956,56.81415929,0.17699115,NA,NA,NA
COOLEY LAW SCHOOL,NA,2018,277,412,1,690,40.14492754,59.71014493,0.144927536,-2.863922021,2.895985636,-0.032063614
COOLEY LAW SCHOOL,NA,2019,180,316,0,496,36.29032258,63.70967742,0,-3.854604956,3.999532492,-0.144927536
COOLEY LAW SCHOOL,NA,2020,120,160,0,280,42.85714286,57.14285714,0,6.566820276,-6.566820276,0
COOLEY LAW SCHOOL,NA,2021,115,142,0,257,44.74708171,55.25291829,0,1.889938855,-1.889938855,0
COOLEY LAW SCHOOL,NA,2022,110,137,0,247,44.53441296,55.46558704,0,-0.212668757,0.212668757,0
COOLEY LAW SCHOOL,NA,2023,84,108,0,192,43.75,56.25,0,-0.784412955,0.784412955,0
CORNELL UNIVERSITY,NEW YORK,2017,82,76,0,158,51.89873418,48.10126582,0,NA,NA,NA
CORNELL UNIVERSITY,NEW YORK,2018,95,77,0,172,55.23255814,44.76744186,0,3.333823962,-3.333823962,0
CORNELL UNIVERSITY,NEW YORK,2019,93,98,0,191,48.69109948,51.30890052,0,-6.541458663,6.541458663,0
CORNELL UNIVERSITY,NEW YORK,2020,80,73,0,153,52.2875817,47.7124183,0,3.596482223,-3.596482223,0
CORNELL UNIVERSITY,NEW YORK,2021,80,83,0,163,49.0797546,50.9202454,0,-3.207827098,3.207827098,0
CORNELL UNIVERSITY,NEW YORK,2022,91,67,0,158,57.59493671,42.40506329,0,8.515182108,-8.515182108,0
CORNELL UNIVERSITY,NEW YORK,2023,77,72,0,149,51.67785235,48.32214765,0,-5.91708436,5.91708436,0
CREIGHTON UNIVERSITY,NEBRASKA,2017,66,38,0,104,63.46153846,36.53846154,0,NA,NA,NA
CREIGHTON UNIVERSITY,NEBRASKA,2018,57,53,0,110,51.81818182,48.18181818,0,-11.64335664,11.64335664,0
CREIGHTON UNIVERSITY,NEBRASKA,2019,69,45,0,114,60.52631579,39.47368421,0,8.708133971,-8.708133971,0
CREIGHTON UNIVERSITY,NEBRASKA,2020,70,58,0,128,54.6875,45.3125,0,-5.838815789,5.838815789,0
CREIGHTON UNIVERSITY,NEBRASKA,2021,76,76,0,152,50,50,0,-4.6875,4.6875,0
CREIGHTON UNIVERSITY,NEBRASKA,2022,61,62,0,123,49.59349593,50.40650407,0,-0.406504065,0.406504065,0
CREIGHTON UNIVERSITY,NEBRASKA,2023,63,69,2,134,47.01492537,51.49253731,1.492537313,-2.578570562,1.086033248,1.492537313
"DAYTON, UNIVERSITY OF",OHIO,2017,38,55,0,93,40.86021505,59.13978495,0,NA,NA,NA
"DAYTON, UNIVERSITY OF",OHIO,2018,49,52,0,101,48.51485149,51.48514851,0,7.654636431,-7.654636431,0
"DAYTON, UNIVERSITY OF",OHIO,2019,49,66,0,115,42.60869565,57.39130435,0,-5.906155833,5.906155833,0
"DAYTON, UNIVERSITY OF",OHIO,2020,75,83,3,161,46.58385093,51.55279503,1.863354037,3.97515528,-5.838509317,1.863354037
"DAYTON, UNIVERSITY OF",OHIO,2021,43,81,3,127,33.85826772,63.77952756,2.362204724,-12.72558322,12.22673253,0.498850687
"DAYTON, UNIVERSITY OF",OHIO,2022,55,64,0,120,45.83333333,53.33333333,0,11.97506562,-10.44619423,-2.362204724
"DAYTON, UNIVERSITY OF",OHIO,2023,56,76,1,133,42.10526316,57.14285714,0.751879699,-3.728070175,3.80952381,0.751879699
"DENVER, UNIVERSITY OF",COLORADO,2017,135,175,0,310,43.5483871,56.4516129,0,NA,NA,NA
"DENVER, UNIVERSITY OF",COLORADO,2018,102,131,0,233,43.77682403,56.22317597,0,0.228436938,-0.228436938,0
"DENVER, UNIVERSITY OF",COLORADO,2019,122,137,2,261,46.74329502,52.49042146,0.766283525,2.966470985,-3.73275451,0.766283525
"DENVER, UNIVERSITY OF",COLORADO,2020,100,157,0,257,38.91050584,61.08949416,0,-7.832789183,8.599072707,-0.766283525
"DENVER, UNIVERSITY OF",COLORADO,2021,80,160,1,241,33.19502075,66.39004149,0.414937759,-5.71548509,5.30054733,0.414937759
"DENVER, UNIVERSITY OF",COLORADO,2022,100,167,1,274,36.49635036,60.94890511,0.364963504,3.301329618,-5.441136384,-0.049974256
"DENVER, UNIVERSITY OF",COLORADO,2023,85,133,0,257,33.07392996,51.75097276,0,-3.422420404,-9.197932347,-0.364963504
DEPAUL UNIVERSITY,ILLINOIS,2017,110,154,0,264,41.66666667,58.33333333,0,NA,NA,NA
DEPAUL UNIVERSITY,ILLINOIS,2018,105,116,0,221,47.51131222,52.48868778,0,5.844645551,-5.844645551,0
DEPAUL UNIVERSITY,ILLINOIS,2019,86,113,0,199,43.2160804,56.7839196,0,-4.295231815,4.295231815,0
DEPAUL UNIVERSITY,ILLINOIS,2020,79,98,1,178,44.38202247,55.05617978,0.561797753,1.16594207,-1.727739823,0.561797753
DEPAUL UNIVERSITY,ILLINOIS,2021,73,140,2,215,33.95348837,65.11627907,0.930232558,-10.4285341,10.06009929,0.368434805
DEPAUL UNIVERSITY,ILLINOIS,2022,64,122,0,188,34.04255319,64.89361702,0,0.089064819,-0.222662048,-0.930232558
DEPAUL UNIVERSITY,ILLINOIS,2023,51,101,3,155,32.90322581,65.16129032,1.935483871,-1.139327385,0.267673301,1.935483871
"DETROIT MERCY, UNIVERSITY OF",MICHIGAN,2017,64,54,0,118,54.23728814,45.76271186,0,NA,NA,NA
"DETROIT MERCY, UNIVERSITY OF",MICHIGAN,2018,30,43,0,73,41.09589041,58.90410959,0,-13.14139772,13.14139772,0
"DETROIT MERCY, UNIVERSITY OF",MICHIGAN,2019,53,64,0,117,45.2991453,54.7008547,0,4.203254888,-4.203254888,0
"DETROIT MERCY, UNIVERSITY OF",MICHIGAN,2020,50,59,0,109,45.87155963,54.12844037,0,0.572414334,-0.572414334,0
"DETROIT MERCY, UNIVERSITY OF",MICHIGAN,2021,58,88,0,146,39.7260274,60.2739726,0,-6.145532236,6.145532236,0
"DETROIT MERCY, UNIVERSITY OF",MICHIGAN,2022,40,74,0,114,35.0877193,64.9122807,0,-4.638308099,4.638308099,0
"DETROIT MERCY, UNIVERSITY OF",MICHIGAN,2023,15,34,0,49,30.6122449,69.3877551,0,-4.4754744,4.4754744,0
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,2017,35,75,0,110,31.81818182,68.18181818,0,NA,NA,NA
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,2018,24,36,0,60,40,60,0,8.181818182,-8.181818182,0
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,2019,20,57,0,77,25.97402597,74.02597403,0,-14.02597403,14.02597403,0
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,2020,32,39,0,71,45.07042254,54.92957746,0,19.09639656,-19.09639656,0
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,2021,25,51,0,76,32.89473684,67.10526316,0,-12.17568569,12.17568569,0
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,2022,29,54,0,83,34.93975904,65.06024096,0,2.045022194,-2.045022194,0
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,2023,37,49,0,86,43.02325581,56.97674419,0,8.083496778,-8.083496778,0
DRAKE UNIVERSITY,IOWA,2017,54,49,0,103,52.42718447,47.57281553,0,NA,NA,NA
DRAKE UNIVERSITY,IOWA,2018,58,51,0,109,53.21100917,46.78899083,0,0.783824708,-0.783824708,0
DRAKE UNIVERSITY,IOWA,2019,61,53,0,114,53.50877193,46.49122807,0,0.297762756,-0.297762756,0
DRAKE UNIVERSITY,IOWA,2020,53,49,0,102,51.96078431,48.03921569,0,-1.547987616,1.547987616,0
DRAKE UNIVERSITY,IOWA,2021,58,64,0,122,47.54098361,52.45901639,0,-4.419800707,4.419800707,0
DRAKE UNIVERSITY,IOWA,2022,47,64,0,111,42.34234234,57.65765766,0,-5.198641264,5.198641264,0
DRAKE UNIVERSITY,IOWA,2023,46,69,0,115,40,60,0,-2.342342342,2.342342342,0
DREXEL UNIVERSITY,PENNSYLVANIA,2017,78,62,2,142,54.92957746,43.66197183,1.408450704,NA,NA,NA
DREXEL UNIVERSITY,PENNSYLVANIA,2018,61,81,0,142,42.95774648,57.04225352,0,-11.97183099,13.38028169,-1.408450704
DREXEL UNIVERSITY,PENNSYLVANIA,2019,55,96,4,155,35.48387097,61.93548387,2.580645161,-7.473875511,4.89323035,2.580645161
DREXEL UNIVERSITY,PENNSYLVANIA,2020,59,103,0,162,36.41975309,63.58024691,0,0.935882119,1.644763043,-2.580645161
DREXEL UNIVERSITY,PENNSYLVANIA,2021,61,76,1,138,44.20289855,55.07246377,0.724637681,7.783145464,-8.507783145,0.724637681
DREXEL UNIVERSITY,PENNSYLVANIA,2022,58,74,0,132,43.93939394,56.06060606,0,-0.263504611,0.988142292,-0.724637681
DREXEL UNIVERSITY,PENNSYLVANIA,2023,46,92,0,139,33.09352518,66.18705036,0,-10.84586876,10.1264443,0
DUKE UNIVERSITY,NORTH CAROLINA,2017,110,78,0,188,58.5106383,41.4893617,0,NA,NA,NA
DUKE UNIVERSITY,NORTH CAROLINA,2018,110,104,0,214,51.40186916,48.59813084,0,-7.108769139,7.108769139,0
DUKE UNIVERSITY,NORTH CAROLINA,2019,80,117,1,198,40.4040404,59.09090909,0.505050505,-10.99782875,10.49277825,0.505050505
DUKE UNIVERSITY,NORTH CAROLINA,2020,94,120,6,220,42.72727273,54.54545455,2.727272727,2.323232323,-4.545454545,2.222222222
DUKE UNIVERSITY,NORTH CAROLINA,2021,112,143,0,255,43.92156863,56.07843137,0,1.1942959,1.532976827,-2.727272727
DUKE UNIVERSITY,NORTH CAROLINA,2022,94,111,2,209,44.97607656,53.11004785,0.956937799,1.054507928,-2.968383526,0.956937799
DUKE UNIVERSITY,NORTH CAROLINA,2023,97,115,0,212,45.75471698,54.24528302,0,0.778640426,1.135235172,-0.956937799
DUQUESNE UNIVERSITY,PENNSYLVANIA,2017,74,88,0,162,45.67901235,54.32098765,0,NA,NA,NA
DUQUESNE UNIVERSITY,PENNSYLVANIA,2018,74,94,0,168,44.04761905,55.95238095,0,-1.631393298,1.631393298,0
DUQUESNE UNIVERSITY,PENNSYLVANIA,2019,86,63,0,149,57.71812081,42.28187919,0,13.67050176,-13.67050176,0
DUQUESNE UNIVERSITY,PENNSYLVANIA,2020,85,73,1,159,53.4591195,45.91194969,0.628930818,-4.259001309,3.630070491,0.628930818
DUQUESNE UNIVERSITY,PENNSYLVANIA,2021,62,90,0,152,40.78947368,59.21052632,0,-12.66964581,13.29857663,-0.628930818
DUQUESNE UNIVERSITY,PENNSYLVANIA,2022,83,80,0,164,50.6097561,48.7804878,0,9.820282413,-10.43003851,0
DUQUESNE UNIVERSITY,PENNSYLVANIA,2023,78,89,0,167,46.70658683,53.29341317,0,-3.903169271,4.512925369,0
ELON UNIVERSITY,NORTH CAROLINA,2017,49,83,0,132,37.12121212,62.87878788,0,NA,NA,NA
ELON UNIVERSITY,NORTH CAROLINA,2018,57,85,0,142,40.14084507,59.85915493,0,3.019632949,-3.019632949,0
ELON UNIVERSITY,NORTH CAROLINA,2019,55,85,0,140,39.28571429,60.71428571,0,-0.855130785,0.855130785,0
ELON UNIVERSITY,NORTH CAROLINA,2020,63,96,0,159,39.62264151,60.37735849,0,0.336927224,-0.336927224,0
ELON UNIVERSITY,NORTH CAROLINA,2021,69,98,0,167,41.31736527,58.68263473,0,1.69472376,-1.69472376,0
ELON UNIVERSITY,NORTH CAROLINA,2022,56,109,0,165,33.93939394,66.06060606,0,-7.37797133,7.37797133,0
ELON UNIVERSITY,NORTH CAROLINA,2023,62,106,0,168,36.9047619,63.0952381,0,2.965367965,-2.965367965,0
EMORY UNIVERSITY,GEORGIA,2017,114,90,0,204,55.88235294,44.11764706,0,NA,NA,NA
EMORY UNIVERSITY,GEORGIA,2018,104,138,0,242,42.97520661,57.02479339,0,-12.90714633,12.90714633,0
EMORY UNIVERSITY,GEORGIA,2019,93,106,0,199,46.73366834,53.26633166,0,3.75846173,-3.75846173,0
EMORY UNIVERSITY,GEORGIA,2020,102,127,0,229,44.54148472,55.45851528,0,-2.192183626,2.192183626,0
EMORY UNIVERSITY,GEORGIA,2021,124,165,0,289,42.90657439,57.09342561,0,-1.634910322,1.634910322,0
EMORY UNIVERSITY,GEORGIA,2022,75,137,0,212,35.37735849,64.62264151,0,-7.529215904,7.529215904,0
EMORY UNIVERSITY,GEORGIA,2023,103,131,0,234,44.01709402,55.98290598,0,8.639735527,-8.639735527,0
FAULKNER UNIVERSITY,ALABAMA,2017,41,32,0,73,56.16438356,43.83561644,0,NA,NA,NA
FAULKNER UNIVERSITY,ALABAMA,2018,31,32,0,63,49.20634921,50.79365079,0,-6.958034355,6.958034355,0
FAULKNER UNIVERSITY,ALABAMA,2019,35,27,0,62,56.4516129,43.5483871,0,7.245263697,-7.245263697,0
FAULKNER UNIVERSITY,ALABAMA,2020,27,36,0,63,42.85714286,57.14285714,0,-13.59447005,13.59447005,0
FAULKNER UNIVERSITY,ALABAMA,2021,70,65,0,135,51.85185185,48.14814815,0,8.994708995,-8.994708995,0
FAULKNER UNIVERSITY,ALABAMA,2022,68,75,0,143,47.55244755,52.44755245,0,-4.299404299,4.299404299,0
FAULKNER UNIVERSITY,ALABAMA,2023,68,88,0,156,43.58974359,56.41025641,0,-3.962703963,3.962703963,0
FLORIDA A&M UNIVERSITY,FLORIDA,2017,92,159,0,251,36.65338645,63.34661355,0,NA,NA,NA
FLORIDA A&M UNIVERSITY,FLORIDA,2018,80,106,1,187,42.78074866,56.68449198,0.534759358,6.127362209,-6.662121567,0.534759358
FLORIDA A&M UNIVERSITY,FLORIDA,2019,75,137,0,212,35.37735849,64.62264151,0,-7.403390173,7.938149531,-0.534759358
FLORIDA A&M UNIVERSITY,FLORIDA,2020,39,73,0,112,34.82142857,65.17857143,0,-0.555929919,0.555929919,0
FLORIDA A&M UNIVERSITY,FLORIDA,2021,36,93,0,129,27.90697674,72.09302326,0,-6.914451827,6.914451827,0
FLORIDA A&M UNIVERSITY,FLORIDA,2022,43,85,0,128,33.59375,66.40625,0,5.686773256,-5.686773256,0
FLORIDA A&M UNIVERSITY,FLORIDA,2023,43,78,0,121,35.53719008,64.46280992,0,1.943440083,-1.943440083,0
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,2017,88,134,0,222,39.63963964,60.36036036,0,NA,NA,NA
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,2018,68,85,0,153,44.44444444,55.55555556,0,4.804804805,-4.804804805,0
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,2019,65,81,0,146,44.52054795,55.47945205,0,0.076103501,-0.076103501,0
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,2020,71,81,0,152,46.71052632,53.28947368,0,2.189978371,-2.189978371,0
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,2021,66,97,0,163,40.49079755,59.50920245,0,-6.21972877,6.21972877,0
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,2022,50,74,0,124,40.32258065,59.67741935,0,-0.168216901,0.168216901,0
FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA,2023,88,87,0,175,50.28571429,49.71428571,0,9.963133641,-9.963133641,0
FLORIDA STATE UNIVERSITY,FLORIDA,2017,83,94,0,177,46.89265537,53.10734463,0,NA,NA,NA
FLORIDA STATE UNIVERSITY,FLORIDA,2018,94,118,0,212,44.33962264,55.66037736,0,-2.553032726,2.553032726,0
FLORIDA STATE UNIVERSITY,FLORIDA,2019,89,104,0,193,46.11398964,53.88601036,0,1.774366996,-1.774366996,0
FLORIDA STATE UNIVERSITY,FLORIDA,2020,70,95,0,165,42.42424242,57.57575758,0,-3.689747213,3.689747213,0
FLORIDA STATE UNIVERSITY,FLORIDA,2021,62,92,0,154,40.25974026,59.74025974,0,-2.164502165,2.164502165,0
FLORIDA STATE UNIVERSITY,FLORIDA,2022,56,55,0,111,50.45045045,49.54954955,0,10.19071019,-10.19071019,0
FLORIDA STATE UNIVERSITY,FLORIDA,2023,63,72,0,135,46.66666667,53.33333333,0,-3.783783784,3.783783784,0
"FLORIDA, UNIVERSITY OF",FLORIDA,2017,130,149,0,279,46.59498208,53.40501792,0,NA,NA,NA
"FLORIDA, UNIVERSITY OF",FLORIDA,2018,122,114,0,236,51.69491525,48.30508475,0,5.099933175,-5.099933175,0
"FLORIDA, UNIVERSITY OF",FLORIDA,2019,85,76,0,161,52.79503106,47.20496894,0,1.100115802,-1.100115802,0
"FLORIDA, UNIVERSITY OF",FLORIDA,2020,99,100,0,199,49.74874372,50.25125628,0,-3.046287337,3.046287337,0
"FLORIDA, UNIVERSITY OF",FLORIDA,2021,118,109,0,227,51.98237885,48.01762115,0,2.233635136,-2.233635136,0
"FLORIDA, UNIVERSITY OF",FLORIDA,2022,100,82,0,182,54.94505495,45.05494505,0,2.96267609,-2.96267609,0
"FLORIDA, UNIVERSITY OF",FLORIDA,2023,71,83,0,154,46.1038961,53.8961039,0,-8.841158841,8.841158841,0
