School.List,State,Year,ST.Total.Men,ST.Total.Women,ST.Total.AGI,ST.Total,percent_men,percent_women,percent_agi,men_change,women_change,agi_change
"ARIZONA, UNIVERSITY OF",ARIZONA,2022,51,71,2,124,41.12903226,57.25806452,1.612903226,-2.965455931,1.352552705,1.612903226
"ARIZONA, UNIVERSITY OF",ARIZONA,2023,50,56,0,112,44.64285714,50,0,3.513824885,-7.258064516,-1.612903226
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2017,67,52,0,119,56.30252101,43.69747899,0,NA,NA,NA
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2018,67,59,0,126,53.17460317,46.82539683,0,-3.127917834,3.127917834,0
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2019,60,50,0,110,54.54545455,45.45454545,0,1.370851371,-1.370851371,0
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2020,65,64,0,129,50.3875969,49.6124031,0,-4.157857646,4.157857646,0
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2021,63,63,0,126,50,50,0,-0.387596899,0.387596899,0
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2022,59,63,0,122,48.36065574,51.63934426,0,-1.639344262,1.639344262,0
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2023,50,77,0,127,39.37007874,60.62992126,0,-8.990576998,8.990576998,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2017,87,79,0,166,52.40963855,47.59036145,0,NA,NA,NA
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2018,67,65,0,132,50.75757576,49.24242424,0,-1.652062797,1.652062797,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2019,78,73,0,151,51.65562914,48.34437086,0,0.898053381,-0.898053381,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2020,74,83,0,157,47.13375796,52.86624204,0,-4.521871177,4.521871177,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2021,70,86,0,156,44.87179487,55.12820513,0,-2.26196309,2.26196309,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2022,67,78,0,145,46.20689655,53.79310345,0,1.33510168,-1.33510168,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2023,45,75,0,121,37.19008264,61.98347107,0,-9.016813907,8.190367626,0
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2017,48,94,0,142,33.8028169,66.1971831,0,NA,NA,NA
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2018,60,71,0,131,45.80152672,54.19847328,0,11.99870982,-11.99870982,0
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2019,19,28,0,47,40.42553191,59.57446809,0,-5.375994803,5.375994803,0
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2020,54,70,0,124,43.5483871,56.4516129,0,3.122855182,-3.122855182,0
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2021,45,77,0,122,36.8852459,63.1147541,0,-6.663141195,6.663141195,0
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2022,41,89,0,130,31.53846154,68.46153846,0,-5.346784363,5.346784363,0
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2023,47,70,0,117,40.17094017,59.82905983,0,8.632478632,-8.632478632,0
AVE MARIA SCHOOL OF LAW,FLORIDA,2017,33,58,0,91,36.26373626,63.73626374,0,NA,NA,NA
AVE MARIA SCHOOL OF LAW,FLORIDA,2018,43,49,0,92,46.73913043,53.26086957,0,10.47539417,-10.47539417,0
AVE MARIA SCHOOL OF LAW,FLORIDA,2019,46,55,0,101,45.54455446,54.45544554,0,-1.194575979,1.194575979,0
AVE MARIA SCHOOL OF LAW,FLORIDA,2020,54,59,0,113,47.78761062,52.21238938,0,2.243056164,-2.243056164,0
AVE MARIA SCHOOL OF LAW,FLORIDA,2021,55,58,0,113,48.67256637,51.32743363,0,0.884955752,-0.884955752,0
AVE MARIA SCHOOL OF LAW,FLORIDA,2022,48,48,0,96,50,50,0,1.327433628,-1.327433628,0
AVE MARIA SCHOOL OF LAW,FLORIDA,2023,50,38,0,88,56.81818182,43.18181818,0,6.818181818,-6.818181818,0
"BALTIMORE, UNIVERSITY OF",MARYLAND,2017,118,117,0,235,50.21276596,49.78723404,0,NA,NA,NA
"BALTIMORE, UNIVERSITY OF",MARYLAND,2018,119,146,0,265,44.90566038,55.09433962,0,-5.30710558,5.30710558,0
"BALTIMORE, UNIVERSITY OF",MARYLAND,2019,116,140,0,256,45.3125,54.6875,0,0.406839623,-0.406839623,0
"BALTIMORE, UNIVERSITY OF",MARYLAND,2020,102,166,2,270,37.77777778,61.48148148,0.740740741,-7.534722222,6.793981481,0.740740741
"BALTIMORE, UNIVERSITY OF",MARYLAND,2021,116,165,2,283,40.98939929,58.30388693,0.706713781,3.211621516,-3.177594556,-0.03402696
"BALTIMORE, UNIVERSITY OF",MARYLAND,2022,104,168,0,273,38.0952381,61.53846154,0,-2.894161198,3.234574613,-0.706713781
"BALTIMORE, UNIVERSITY OF",MARYLAND,2023,84,167,0,252,33.33333333,66.26984127,0,-4.761904762,4.731379731,0
BARRY UNIVERSITY,FLORIDA,2017,107,147,0,254,42.12598425,57.87401575,0,NA,NA,NA
BARRY UNIVERSITY,FLORIDA,2018,102,141,0,243,41.97530864,58.02469136,0,-0.15067561,0.15067561,0
BARRY UNIVERSITY,FLORIDA,2019,102,129,0,231,44.15584416,55.84415584,0,2.180535514,-2.180535514,0
BARRY UNIVERSITY,FLORIDA,2020,92,150,0,242,38.01652893,61.98347107,0,-6.13931523,6.13931523,0
BARRY UNIVERSITY,FLORIDA,2021,122,182,0,304,40.13157895,59.86842105,0,2.115050022,-2.115050022,0
BARRY UNIVERSITY,FLORIDA,2022,97,154,0,252,38.49206349,61.11111111,0,-1.639515455,1.242690058,0
BARRY UNIVERSITY,FLORIDA,2023,99,129,0,231,42.85714286,55.84415584,0,4.365079365,-5.266955267,0
BAYLOR UNIVERSITY,TEXAS,2017,86,84,0,170,50.58823529,49.41176471,0,NA,NA,NA
BAYLOR UNIVERSITY,TEXAS,2018,93,79,0,172,54.06976744,45.93023256,0,3.481532148,-3.481532148,0
BAYLOR UNIVERSITY,TEXAS,2019,82,86,0,168,48.80952381,51.19047619,0,-5.260243632,5.260243632,0
BAYLOR UNIVERSITY,TEXAS,2020,72,75,0,147,48.97959184,51.02040816,0,0.170068027,-0.170068027,0
BAYLOR UNIVERSITY,TEXAS,2021,92,117,0,209,44.01913876,55.98086124,0,-4.960453081,4.960453081,0
BAYLOR UNIVERSITY,TEXAS,2022,55,73,0,128,42.96875,57.03125,0,-1.050388756,1.050388756,0
BAYLOR UNIVERSITY,TEXAS,2023,44,49,0,93,47.31182796,52.68817204,0,4.343077957,-4.343077957,0
BELMONT UNIVERSITY,TENNESSEE,2017,50,59,0,109,45.87155963,54.12844037,0,NA,NA,NA
BELMONT UNIVERSITY,TENNESSEE,2018,38,66,0,104,36.53846154,63.46153846,0,-9.333098095,9.333098095,0
BELMONT UNIVERSITY,TENNESSEE,2019,46,90,0,136,33.82352941,66.17647059,0,-2.714932127,2.714932127,0
BELMONT UNIVERSITY,TENNESSEE,2020,41,79,0,120,34.16666667,65.83333333,0,0.343137255,-0.343137255,0
BELMONT UNIVERSITY,TENNESSEE,2021,48,87,1,136,35.29411765,63.97058824,0.735294118,1.12745098,-1.862745098,0.735294118
BELMONT UNIVERSITY,TENNESSEE,2022,44,72,0,116,37.93103448,62.06896552,0,2.636916836,-1.901622718,-0.735294118
BELMONT UNIVERSITY,TENNESSEE,2023,37,68,1,107,34.57943925,63.55140187,0.934579439,-3.35159523,1.482436352,0.934579439
BOSTON COLLEGE,MASSACHUSETTS,2017,124,110,0,234,52.99145299,47.00854701,0,NA,NA,NA
BOSTON COLLEGE,MASSACHUSETTS,2018,102,106,0,208,49.03846154,50.96153846,0,-3.952991453,3.952991453,0
BOSTON COLLEGE,MASSACHUSETTS,2019,103,135,2,240,42.91666667,56.25,0.833333333,-6.121794872,5.288461538,0.833333333
BOSTON COLLEGE,MASSACHUSETTS,2020,124,114,0,238,52.10084034,47.89915966,0,9.184173669,-8.350840336,-0.833333333
BOSTON COLLEGE,MASSACHUSETTS,2021,147,186,0,333,44.14414414,55.85585586,0,-7.956696192,7.956696192,0
BOSTON COLLEGE,MASSACHUSETTS,2022,88,113,0,201,43.78109453,56.21890547,0,-0.363049617,0.363049617,0
BOSTON COLLEGE,MASSACHUSETTS,2023,96,104,0,200,48,52,0,4.218905473,-4.218905473,0
BOSTON UNIVERSITY,MASSACHUSETTS,2017,86,122,0,208,41.34615385,58.65384615,0,NA,NA,NA
BOSTON UNIVERSITY,MASSACHUSETTS,2018,92,167,0,259,35.52123552,64.47876448,0,-5.824918325,5.824918325,0
BOSTON UNIVERSITY,MASSACHUSETTS,2019,98,117,0,215,45.58139535,54.41860465,0,10.06015983,-10.06015983,0
BOSTON UNIVERSITY,MASSACHUSETTS,2020,106,125,0,231,45.88744589,54.11255411,0,0.306050539,-0.306050539,0
BOSTON UNIVERSITY,MASSACHUSETTS,2021,135,160,0,295,45.76271186,54.23728814,0,-0.124734023,0.124734023,0
BOSTON UNIVERSITY,MASSACHUSETTS,2022,104,99,0,203,51.23152709,48.76847291,0,5.468815229,-5.468815229,0
BOSTON UNIVERSITY,MASSACHUSETTS,2023,96,125,0,221,43.43891403,56.56108597,0,-7.792613066,7.792613066,0
BRIGHAM YOUNG UNIVERSITY,UTAH,2017,60,40,0,100,60,40,0,NA,NA,NA
