School.List,State,Year,FT.BIPOC,FT.White,FT.Total,fac_percent_bipoc,fac_percent_white,fac_year_change
ARIZONA STATE UNIVERSITY,ARIZONA,2018,40,168,208,19.23076923,80.76923077,5.6438
ARIZONA STATE UNIVERSITY,ARIZONA,2019,37,168,205,18.04878049,81.95121951,-1.182
ARIZONA STATE UNIVERSITY,ARIZONA,2020,42,147,189,22.22222222,77.77777778,4.1734
ARIZONA STATE UNIVERSITY,ARIZONA,2021,39,170,209,18.66028708,81.33971292,-3.5619
ARIZONA STATE UNIVERSITY,ARIZONA,2022,39,178,217,17.97235023,82.02764977,-0.6879
ARIZONA STATE UNIVERSITY,ARIZONA,2023,40,193,233,17.16738197,82.83261803,-0.805
"ARIZONA, UNIVERSITY OF",ARIZONA,2017,23,144,167,13.77245509,86.22754491,NA
"ARIZONA, UNIVERSITY OF",ARIZONA,2018,25,130,155,16.12903226,83.87096774,2.3566
"ARIZONA, UNIVERSITY OF",ARIZONA,2019,25,114,139,17.98561151,82.01438849,1.8566
"ARIZONA, UNIVERSITY OF",ARIZONA,2020,28,135,163,17.17791411,82.82208589,-0.8077
"ARIZONA, UNIVERSITY OF",ARIZONA,2021,33,116,149,22.14765101,77.85234899,4.9697
"ARIZONA, UNIVERSITY OF",ARIZONA,2022,34,122,156,21.79487179,78.20512821,-0.3528
"ARIZONA, UNIVERSITY OF",ARIZONA,2023,47,122,169,27.81065089,72.18934911,6.0158
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2017,12,73,85,14.11764706,85.88235294,NA
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2018,10,70,80,12.5,87.5,-1.6176
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2019,8,66,74,10.81081081,89.18918919,-1.6892
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2020,8,61,69,11.5942029,88.4057971,0.7834
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2021,9,55,64,14.0625,85.9375,2.4683
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2022,6,56,62,9.677419355,90.32258065,-4.3851
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",ARKANSAS,2023,9,63,72,12.5,87.5,2.8226
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2017,17,82,99,17.17171717,82.82828283,NA
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2018,18,89,107,16.82242991,83.17757009,-0.3493
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2019,12,78,90,13.33333333,86.66666667,-3.4891
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2020,12,80,92,13.04347826,86.95652174,-0.2899
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2021,13,74,87,14.94252874,85.05747126,1.8991
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2022,13,74,87,14.94252874,85.05747126,0
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",ARKANSAS,2023,16,88,104,15.38461538,84.61538462,0.4421
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2017,22,69,91,24.17582418,75.82417582,NA
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2018,15,44,59,25.42372881,74.57627119,1.2479
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2019,11,40,51,21.56862745,78.43137255,-3.8551
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2020,8,27,35,22.85714286,77.14285714,1.2885
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2021,9,25,34,26.47058824,73.52941176,3.6134
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2022,7,28,35,20,80,-6.4706
ATLANTA'S JOHN MARSHALL LAW SCHOOL,GEORGIA,2023,10,25,35,28.57142857,71.42857143,8.5714
AVE MARIA SCHOOL OF LAW,FLORIDA,2017,3,43,46,6.52173913,93.47826087,NA
AVE MARIA SCHOOL OF LAW,FLORIDA,2018,2,39,41,4.87804878,95.12195122,-1.6437
AVE MARIA SCHOOL OF LAW,FLORIDA,2019,2,39,41,4.87804878,95.12195122,0
AVE MARIA SCHOOL OF LAW,FLORIDA,2020,2,36,38,5.263157895,94.73684211,0.3851
AVE MARIA SCHOOL OF LAW,FLORIDA,2021,2,34,36,5.555555556,94.44444444,0.2924
AVE MARIA SCHOOL OF LAW,FLORIDA,2022,3,30,33,9.090909091,90.90909091,3.5354
AVE MARIA SCHOOL OF LAW,FLORIDA,2023,5,36,41,12.19512195,87.80487805,3.1042
"BALTIMORE, UNIVERSITY OF",MARYLAND,2017,24,136,160,15,85,NA
"BALTIMORE, UNIVERSITY OF",MARYLAND,2018,23,131,154,14.93506494,85.06493506,-0.0649
"BALTIMORE, UNIVERSITY OF",MARYLAND,2019,25,109,134,18.65671642,81.34328358,3.7217
"BALTIMORE, UNIVERSITY OF",MARYLAND,2020,24,115,139,17.26618705,82.73381295,-1.3905
"BALTIMORE, UNIVERSITY OF",MARYLAND,2021,27,117,144,18.75,81.25,1.4838
"BALTIMORE, UNIVERSITY OF",MARYLAND,2022,26,135,161,16.14906832,83.85093168,-2.6009
"BALTIMORE, UNIVERSITY OF",MARYLAND,2023,22,141,163,13.49693252,86.50306748,-2.6521
BARRY UNIVERSITY,FLORIDA,2017,23,63,86,26.74418605,73.25581395,NA
BARRY UNIVERSITY,FLORIDA,2018,20,63,83,24.09638554,75.90361446,-2.6478
BARRY UNIVERSITY,FLORIDA,2019,22,59,81,27.16049383,72.83950617,3.0641
BARRY UNIVERSITY,FLORIDA,2020,23,56,79,29.11392405,70.88607595,1.9534
BARRY UNIVERSITY,FLORIDA,2021,16,52,68,23.52941176,76.47058824,-5.5845
BARRY UNIVERSITY,FLORIDA,2022,20,49,69,28.98550725,71.01449275,5.4561
BARRY UNIVERSITY,FLORIDA,2023,27,40,67,40.29850746,59.70149254,11.313
BAYLOR UNIVERSITY,TEXAS,2017,6,76,82,7.317073171,92.68292683,NA
BAYLOR UNIVERSITY,TEXAS,2018,6,78,84,7.142857143,92.85714286,-0.1742
BAYLOR UNIVERSITY,TEXAS,2019,10,128,138,7.246376812,92.75362319,0.1035
BAYLOR UNIVERSITY,TEXAS,2020,7,129,136,5.147058824,94.85294118,-2.0993
BAYLOR UNIVERSITY,TEXAS,2021,15,143,158,9.493670886,90.50632911,4.3466
BAYLOR UNIVERSITY,TEXAS,2022,17,159,176,9.659090909,90.34090909,0.1654
BAYLOR UNIVERSITY,TEXAS,2023,32,151,183,17.4863388,82.5136612,7.8272
BELMONT UNIVERSITY,TENNESSEE,2017,7,36,43,16.27906977,83.72093023,NA
BELMONT UNIVERSITY,TENNESSEE,2018,5,35,40,12.5,87.5,-3.7791
BELMONT UNIVERSITY,TENNESSEE,2019,6,34,40,15,85,2.5
BELMONT UNIVERSITY,TENNESSEE,2020,6,43,49,12.24489796,87.75510204,-2.7551
BELMONT UNIVERSITY,TENNESSEE,2021,6,36,42,14.28571429,85.71428571,2.0408
BELMONT UNIVERSITY,TENNESSEE,2022,9,45,54,16.66666667,83.33333333,2.381
BELMONT UNIVERSITY,TENNESSEE,2023,7,43,50,14,86,-2.6667
BOSTON COLLEGE,MASSACHUSETTS,2017,23,115,138,16.66666667,83.33333333,NA
BOSTON COLLEGE,MASSACHUSETTS,2018,25,103,128,19.53125,80.46875,2.8646
BOSTON COLLEGE,MASSACHUSETTS,2019,26,123,149,17.44966443,82.55033557,-2.0816
BOSTON COLLEGE,MASSACHUSETTS,2020,28,126,154,18.18181818,81.81818182,0.7322
BOSTON COLLEGE,MASSACHUSETTS,2021,26,116,142,18.30985915,81.69014085,0.128
BOSTON COLLEGE,MASSACHUSETTS,2022,26,151,177,14.68926554,85.31073446,-3.6206
BOSTON COLLEGE,MASSACHUSETTS,2023,42,171,213,19.71830986,80.28169014,5.029
BOSTON UNIVERSITY,MASSACHUSETTS,2017,23,225,248,9.274193548,90.72580645,NA
BOSTON UNIVERSITY,MASSACHUSETTS,2018,21,177,198,10.60606061,89.39393939,1.3319
BOSTON UNIVERSITY,MASSACHUSETTS,2019,13,198,211,6.161137441,93.83886256,-4.4449
BOSTON UNIVERSITY,MASSACHUSETTS,2020,20,201,221,9.049773756,90.95022624,2.8886
BOSTON UNIVERSITY,MASSACHUSETTS,2021,23,187,210,10.95238095,89.04761905,1.9026
BOSTON UNIVERSITY,MASSACHUSETTS,2022,18,178,196,9.183673469,90.81632653,-1.7687
BOSTON UNIVERSITY,MASSACHUSETTS,2023,32,181,213,15.02347418,84.97652582,5.8398
BRIGHAM YOUNG UNIVERSITY,UTAH,2017,6,96,102,5.882352941,94.11764706,NA
BRIGHAM YOUNG UNIVERSITY,UTAH,2018,6,82,88,6.818181818,93.18181818,0.9358
BRIGHAM YOUNG UNIVERSITY,UTAH,2019,6,88,94,6.382978723,93.61702128,-0.4352
BRIGHAM YOUNG UNIVERSITY,UTAH,2020,7,80,87,8.045977011,91.95402299,1.663
BRIGHAM YOUNG UNIVERSITY,UTAH,2021,9,78,87,10.34482759,89.65517241,2.2989
BRIGHAM YOUNG UNIVERSITY,UTAH,2022,8,83,91,8.791208791,91.20879121,-1.5536
BRIGHAM YOUNG UNIVERSITY,UTAH,2023,12,89,101,11.88118812,88.11881188,3.09
BROOKLYN LAW SCHOOL,NEW YORK,2017,29,205,234,12.39316239,87.60683761,NA
BROOKLYN LAW SCHOOL,NEW YORK,2018,23,207,230,10,90,-2.3932
BROOKLYN LAW SCHOOL,NEW YORK,2019,30,181,211,14.21800948,85.78199052,4.218
BROOKLYN LAW SCHOOL,NEW YORK,2020,30,169,199,15.07537688,84.92462312,0.8574
BROOKLYN LAW SCHOOL,NEW YORK,2021,36,159,195,18.46153846,81.53846154,3.3862
BROOKLYN LAW SCHOOL,NEW YORK,2022,39,171,210,18.57142857,81.42857143,0.1099
BROOKLYN LAW SCHOOL,NEW YORK,2023,50,169,219,22.83105023,77.16894977,4.2596
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2017,19,102,121,15.70247934,84.29752066,NA
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2018,17,102,119,14.28571429,85.71428571,-1.4168
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2019,22,92,114,19.29824561,80.70175439,5.0125
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2020,24,89,113,21.23893805,78.76106195,1.9407
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2021,25,87,112,22.32142857,77.67857143,1.0825
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2022,25,87,112,22.32142857,77.67857143,0
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2023,24,83,107,22.42990654,77.57009346,0.1085
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2017,60,246,306,19.60784314,80.39215686,NA
"CALIFORNIA-BERKELEY, UNIVERSITY OF",CALIFORNIA,2018,50,225,275,18.18181818,81.81818182,-1.426
