School.List,State,Year,FT.BIPOC,FT.White,FT.Total,fac_percent_bipoc,fac_percent_white,fac_year_change
VILLANOVA UNIVERSITY,PENNSYLVANIA,2023,18,110,128,14.0625,85.9375,1.242
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2017,18,228,246,7.317073171,92.68292683,NA
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2018,23,214,237,9.70464135,90.29535865,2.3876
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2019,24,214,238,10.08403361,89.91596639,0.3794
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2020,23,211,234,9.829059829,90.17094017,-0.255
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2021,31,221,252,12.3015873,87.6984127,2.4725
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2022,31,214,245,12.65306122,87.34693878,0.3515
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2023,36,240,276,13.04347826,86.95652174,0.3904
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2017,13,107,120,10.83333333,89.16666667,NA
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2018,13,123,136,9.558823529,90.44117647,-1.2745
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2019,16,92,108,14.81481481,85.18518519,5.256
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2020,19,106,125,15.2,84.8,0.3852
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2021,15,72,87,17.24137931,82.75862069,2.0414
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2022,22,87,109,20.18348624,79.81651376,2.9421
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2023,16,81,97,16.49484536,83.50515464,-3.6886
WASHBURN UNIVERSITY,KANSAS,2017,5,66,71,7.042253521,92.95774648,NA
WASHBURN UNIVERSITY,KANSAS,2018,7,63,70,10,90,2.9577
WASHBURN UNIVERSITY,KANSAS,2019,7,58,65,10.76923077,89.23076923,0.7692
WASHBURN UNIVERSITY,KANSAS,2020,7,53,60,11.66666667,88.33333333,0.8974
WASHBURN UNIVERSITY,KANSAS,2021,8,57,65,12.30769231,87.69230769,0.641
WASHBURN UNIVERSITY,KANSAS,2022,12,52,64,18.75,81.25,6.4423
WASHBURN UNIVERSITY,KANSAS,2023,11,48,59,18.6440678,81.3559322,-0.1059
