School.List,State,Year,FT.Male,FT.Female,FT.AGI,FT.Total,fac_percent_men,fac_percent_women,fac_percent_agi,fac_men_change,fac_women_change,fac_agi_change
"PENNSYLVANIA, UNIVERSITY OF",PENNSYLVANIA,2023,167,121,0,291,57.38831615,41.58075601,0,1.485538373,1.99742268,-4.513888889
PEPPERDINE UNIVERSITY,CALIFORNIA,2017,92,40,0,132,69.6969697,30.3030303,0,NA,NA,NA
PEPPERDINE UNIVERSITY,CALIFORNIA,2018,95,44,0,139,68.34532374,31.65467626,0,-1.351645956,1.351645956,0
PEPPERDINE UNIVERSITY,CALIFORNIA,2019,126,59,0,185,68.10810811,31.89189189,0,-0.237215633,0.237215633,0
PEPPERDINE UNIVERSITY,CALIFORNIA,2020,96,37,0,133,72.18045113,27.81954887,0,4.07234302,-4.07234302,0
PEPPERDINE UNIVERSITY,CALIFORNIA,2021,77,47,0,124,62.09677419,37.90322581,0,-10.08367693,10.08367693,0
PEPPERDINE UNIVERSITY,CALIFORNIA,2022,93,41,0,134,69.40298507,30.59701493,0,7.306210881,-7.306210881,0
PEPPERDINE UNIVERSITY,CALIFORNIA,2023,92,57,0,149,61.74496644,38.25503356,0,-7.658018632,7.658018632,0
"PITTSBURGH, UNIVERSITY OF",PENNSYLVANIA,2017,124,66,0,190,65.26315789,34.73684211,0,NA,NA,NA
"PITTSBURGH, UNIVERSITY OF",PENNSYLVANIA,2018,110,58,0,168,65.47619048,34.52380952,0,0.213032581,-0.213032581,0
"PITTSBURGH, UNIVERSITY OF",PENNSYLVANIA,2019,103,56,0,159,64.77987421,35.22012579,0,-0.696316262,0.696316262,0
"PITTSBURGH, UNIVERSITY OF",PENNSYLVANIA,2020,97,51,0,148,65.54054054,34.45945946,0,0.760666327,-0.760666327,0
"PITTSBURGH, UNIVERSITY OF",PENNSYLVANIA,2021,90,51,0,141,63.82978723,36.17021277,0,-1.710753306,1.710753306,0
"PITTSBURGH, UNIVERSITY OF",PENNSYLVANIA,2022,97,48,0,145,66.89655172,33.10344828,0,3.06676449,-3.06676449,0
"PITTSBURGH, UNIVERSITY OF",PENNSYLVANIA,2023,112,64,0,176,63.63636364,36.36363636,0,-3.260188088,3.260188088,0
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,PUERTO RICO,2017,51,19,0,70,72.85714286,27.14285714,0,NA,NA,NA
