School.List,State,Year,FT.Male,FT.Female,FT.AGI,FT.Total,fac_percent_men,fac_percent_women,fac_percent_agi,fac_men_change,fac_women_change,fac_agi_change
"SOUTH DAKOTA, UNIVERSITY OF",SOUTH DAKOTA,2019,19,11,0,30,63.33333333,36.66666667,0,-6.363636364,6.363636364,0
"SOUTH DAKOTA, UNIVERSITY OF",SOUTH DAKOTA,2020,18,16,0,34,52.94117647,47.05882353,0,-10.39215686,10.39215686,0
"SOUTH DAKOTA, UNIVERSITY OF",SOUTH DAKOTA,2021,19,10,0,29,65.51724138,34.48275862,0,12.57606491,-12.57606491,0
"SOUTH DAKOTA, UNIVERSITY OF",SOUTH DAKOTA,2022,20,20,0,40,50,50,0,-15.51724138,15.51724138,0
"SOUTH DAKOTA, UNIVERSITY OF",SOUTH DAKOTA,2023,24,18,0,42,57.14285714,42.85714286,0,7.142857143,-7.142857143,0
SOUTH TEXAS COLLEGE OF LAW HOUSTON,TEXAS,2017,68,34,0,102,66.66666667,33.33333333,0,NA,NA,NA
SOUTH TEXAS COLLEGE OF LAW HOUSTON,TEXAS,2018,66,41,0,107,61.68224299,38.31775701,0,-4.984423676,4.984423676,0
SOUTH TEXAS COLLEGE OF LAW HOUSTON,TEXAS,2019,66,37,0,103,64.0776699,35.9223301,0,2.395426912,-2.395426912,0
SOUTH TEXAS COLLEGE OF LAW HOUSTON,TEXAS,2020,81,46,0,127,63.77952756,36.22047244,0,-0.298142344,0.298142344,0
SOUTH TEXAS COLLEGE OF LAW HOUSTON,TEXAS,2021,77,48,0,125,61.6,38.4,0,-2.179527559,2.179527559,0
SOUTH TEXAS COLLEGE OF LAW HOUSTON,TEXAS,2022,70,43,0,113,61.94690265,38.05309735,0,0.346902655,-0.346902655,0
SOUTH TEXAS COLLEGE OF LAW HOUSTON,TEXAS,2023,77,49,0,126,61.11111111,38.88888889,0,-0.835791544,0.835791544,0
"SOUTHERN CALIFORNIA, UNIVERSITY OF",CALIFORNIA,2017,124,63,0,187,66.31016043,33.68983957,0,NA,NA,NA
"SOUTHERN CALIFORNIA, UNIVERSITY OF",CALIFORNIA,2018,129,55,0,184,70.10869565,29.89130435,0,3.798535224,-3.798535224,0
"SOUTHERN CALIFORNIA, UNIVERSITY OF",CALIFORNIA,2019,123,63,0,186,66.12903226,33.87096774,0,-3.979663394,3.979663394,0
"SOUTHERN CALIFORNIA, UNIVERSITY OF",CALIFORNIA,2020,108,66,0,174,62.06896552,37.93103448,0,-4.060066741,4.060066741,0
"SOUTHERN CALIFORNIA, UNIVERSITY OF",CALIFORNIA,2021,82,66,0,148,55.40540541,44.59459459,0,-6.663560112,6.663560112,0
"SOUTHERN CALIFORNIA, UNIVERSITY OF",CALIFORNIA,2022,110,71,0,181,60.77348066,39.22651934,0,5.368075258,-5.368075258,0
"SOUTHERN CALIFORNIA, UNIVERSITY OF",CALIFORNIA,2023,113,72,1,186,60.75268817,38.70967742,0.537634409,-0.020792491,-0.516841918,0.537634409
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,ILLINOIS,2017,23,31,0,54,42.59259259,57.40740741,0,NA,NA,NA
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,ILLINOIS,2018,22,21,0,43,51.1627907,48.8372093,0,8.570198105,-8.570198105,0
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,ILLINOIS,2019,22,23,0,45,48.88888889,51.11111111,0,-2.273901809,2.273901809,0
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,ILLINOIS,2020,24,24,0,48,50,50,0,1.111111111,-1.111111111,0
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,ILLINOIS,2021,18,22,0,40,45,55,0,-5,5,0
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,ILLINOIS,2022,18,23,0,41,43.90243902,56.09756098,0,-1.097560976,1.097560976,0
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,ILLINOIS,2023,20,24,0,44,45.45454545,54.54545455,0,1.55210643,-1.55210643,0
SOUTHERN METHODIST UNIVERSITY,TEXAS,2017,141,61,1,203,69.45812808,30.04926108,0.492610837,NA,NA,NA
SOUTHERN METHODIST UNIVERSITY,TEXAS,2018,143,67,1,211,67.77251185,31.7535545,0.473933649,-1.68561623,1.704293419,-0.018677188
SOUTHERN METHODIST UNIVERSITY,TEXAS,2019,103,50,0,153,67.32026144,32.67973856,0,-0.45225041,0.92618406,-0.473933649
SOUTHERN METHODIST UNIVERSITY,TEXAS,2020,100,51,0,151,66.22516556,33.77483444,0,-1.095095875,1.095095875,0
SOUTHERN METHODIST UNIVERSITY,TEXAS,2021,95,47,0,142,66.90140845,33.09859155,0,0.676242888,-0.676242888,0
SOUTHERN METHODIST UNIVERSITY,TEXAS,2022,98,47,0,145,67.5862069,32.4137931,0,0.684798446,-0.684798446,0
SOUTHERN METHODIST UNIVERSITY,TEXAS,2023,112,54,0,166,67.46987952,32.53012048,0,-0.116327378,0.116327378,0
SOUTHERN UNIVERSITY,LOUISIANA,2017,41,37,0,78,52.56410256,47.43589744,0,NA,NA,NA
SOUTHERN UNIVERSITY,LOUISIANA,2018,59,54,0,113,52.21238938,47.78761062,0,-0.351713184,0.351713184,0
SOUTHERN UNIVERSITY,LOUISIANA,2019,66,69,0,135,48.88888889,51.11111111,0,-3.323500492,3.323500492,0
SOUTHERN UNIVERSITY,LOUISIANA,2020,55,54,0,109,50.4587156,49.5412844,0,1.569826707,-1.569826707,0
SOUTHERN UNIVERSITY,LOUISIANA,2021,96,91,0,187,51.3368984,48.6631016,0,0.878182799,-0.878182799,0
SOUTHERN UNIVERSITY,LOUISIANA,2022,75,91,0,166,45.18072289,54.81927711,0,-6.156175504,6.156175504,0
SOUTHERN UNIVERSITY,LOUISIANA,2023,63,67,0,130,48.46153846,51.53846154,0,3.28081557,-3.28081557,0
SOUTHWESTERN LAW SCHOOL,CALIFORNIA,2017,84,63,0,147,57.14285714,42.85714286,0,NA,NA,NA
SOUTHWESTERN LAW SCHOOL,CALIFORNIA,2018,80,59,0,139,57.55395683,42.44604317,0,0.411099692,-0.411099692,0
SOUTHWESTERN LAW SCHOOL,CALIFORNIA,2019,74,66,0,140,52.85714286,47.14285714,0,-4.696813977,4.696813977,0
SOUTHWESTERN LAW SCHOOL,CALIFORNIA,2020,77,72,0,149,51.67785235,48.32214765,0,-1.179290508,1.179290508,0
SOUTHWESTERN LAW SCHOOL,CALIFORNIA,2021,71,68,0,139,51.07913669,48.92086331,0,-0.598715658,0.598715658,0
SOUTHWESTERN LAW SCHOOL,CALIFORNIA,2022,87,80,0,167,52.09580838,47.90419162,0,1.016671693,-1.016671693,0
SOUTHWESTERN LAW SCHOOL,CALIFORNIA,2023,93,86,1,180,51.66666667,47.77777778,0.555555556,-0.429141717,-0.126413839,0.555555556
ST. JOHN'S UNIVERSITY,NEW YORK,2017,85,51,0,136,62.5,37.5,0,NA,NA,NA
ST. JOHN'S UNIVERSITY,NEW YORK,2018,95,58,0,153,62.09150327,37.90849673,0,-0.408496732,0.408496732,0
ST. JOHN'S UNIVERSITY,NEW YORK,2019,93,59,0,152,61.18421053,38.81578947,0,-0.907292742,0.907292742,0
ST. JOHN'S UNIVERSITY,NEW YORK,2020,109,76,0,185,58.91891892,41.08108108,0,-2.265291607,2.265291607,0
ST. JOHN'S UNIVERSITY,NEW YORK,2021,94,70,0,164,57.31707317,42.68292683,0,-1.601845748,1.601845748,0
ST. JOHN'S UNIVERSITY,NEW YORK,2022,88,78,0,166,53.01204819,46.98795181,0,-4.305024978,4.305024978,0
ST. JOHN'S UNIVERSITY,NEW YORK,2023,80,86,2,168,47.61904762,51.19047619,1.19047619,-5.393000574,4.202524383,1.19047619
ST. MARY'S UNIVERSITY,TEXAS,2017,80,44,0,124,64.51612903,35.48387097,0,NA,NA,NA
ST. MARY'S UNIVERSITY,TEXAS,2018,76,41,0,117,64.95726496,35.04273504,0,0.441135925,-0.441135925,0
ST. MARY'S UNIVERSITY,TEXAS,2019,65,37,0,102,63.7254902,36.2745098,0,-1.231774761,1.231774761,0
ST. MARY'S UNIVERSITY,TEXAS,2020,61,40,0,101,60.3960396,39.6039604,0,-3.329450592,3.329450592,0
ST. MARY'S UNIVERSITY,TEXAS,2021,61,32,0,93,65.59139785,34.40860215,0,5.195358246,-5.195358246,0
ST. MARY'S UNIVERSITY,TEXAS,2022,72,31,0,104,69.23076923,29.80769231,0,3.639371381,-4.600909843,0
ST. MARY'S UNIVERSITY,TEXAS,2023,69,35,0,104,66.34615385,33.65384615,0,-2.884615385,3.846153846,0
ST. THOMAS UNIVERSITY (FLORIDA),FLORIDA,2017,68,40,0,108,62.96296296,37.03703704,0,NA,NA,NA
ST. THOMAS UNIVERSITY (FLORIDA),FLORIDA,2018,49,32,0,81,60.49382716,39.50617284,0,-2.469135802,2.469135802,0
ST. THOMAS UNIVERSITY (FLORIDA),FLORIDA,2019,56,29,0,85,65.88235294,34.11764706,0,5.388525781,-5.388525781,0
ST. THOMAS UNIVERSITY (FLORIDA),FLORIDA,2020,53,35,0,88,60.22727273,39.77272727,0,-5.655080214,5.655080214,0
ST. THOMAS UNIVERSITY (FLORIDA),FLORIDA,2021,61,37,0,98,62.24489796,37.75510204,0,2.017625232,-2.017625232,0
ST. THOMAS UNIVERSITY (FLORIDA),FLORIDA,2022,61,41,0,102,59.80392157,40.19607843,0,-2.440976391,2.440976391,0
ST. THOMAS UNIVERSITY (FLORIDA),FLORIDA,2023,75,43,0,118,63.55932203,36.44067797,0,3.755400465,-3.755400465,0
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",MINNESOTA,2017,79,40,0,119,66.38655462,33.61344538,0,NA,NA,NA
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",MINNESOTA,2018,87,42,0,129,67.44186047,32.55813953,0,1.055305843,-1.055305843,0
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",MINNESOTA,2019,82,48,0,130,63.07692308,36.92307692,0,-4.364937388,4.364937388,0
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",MINNESOTA,2020,91,56,0,147,61.9047619,38.0952381,0,-1.172161172,1.172161172,0
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",MINNESOTA,2021,87,59,0,146,59.5890411,40.4109589,0,-2.315720809,2.315720809,0
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",MINNESOTA,2022,92,65,0,157,58.59872611,41.40127389,0,-0.990314981,0.990314981,0
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",MINNESOTA,2023,83,78,0,161,51.55279503,48.44720497,0,-7.045931084,7.045931084,0
STANFORD UNIVERSITY,CALIFORNIA,2017,130,88,0,218,59.63302752,40.36697248,0,NA,NA,NA
STANFORD UNIVERSITY,CALIFORNIA,2018,125,85,0,210,59.52380952,40.47619048,0,-0.109217999,0.109217999,0
STANFORD UNIVERSITY,CALIFORNIA,2019,124,80,0,204,60.78431373,39.21568627,0,1.260504202,-1.260504202,0
STANFORD UNIVERSITY,CALIFORNIA,2020,108,82,0,190,56.84210526,43.15789474,0,-3.942208462,3.942208462,0
STANFORD UNIVERSITY,CALIFORNIA,2021,98,84,0,182,53.84615385,46.15384615,0,-2.995951417,2.995951417,0
STANFORD UNIVERSITY,CALIFORNIA,2022,110,76,0,186,59.13978495,40.86021505,0,5.2936311,-5.2936311,0
STANFORD UNIVERSITY,CALIFORNIA,2023,101,91,0,192,52.60416667,47.39583333,0,-6.53561828,6.53561828,0
STETSON UNIVERSITY,FLORIDA,2017,91,64,0,155,58.70967742,41.29032258,0,NA,NA,NA
STETSON UNIVERSITY,FLORIDA,2018,67,67,2,136,49.26470588,49.26470588,1.470588235,-9.444971537,7.974383302,1.470588235
STETSON UNIVERSITY,FLORIDA,2019,77,58,0,135,57.03703704,42.96296296,0,7.772331155,-6.301742919,-1.470588235
STETSON UNIVERSITY,FLORIDA,2020,70,63,0,133,52.63157895,47.36842105,0,-4.40545809,4.40545809,0
STETSON UNIVERSITY,FLORIDA,2021,78,83,3,164,47.56097561,50.6097561,1.829268293,-5.070603338,3.241335045,1.829268293
STETSON UNIVERSITY,FLORIDA,2022,93,84,3,180,51.66666667,46.66666667,1.666666667,4.105691057,-3.943089431,-0.162601626
STETSON UNIVERSITY,FLORIDA,2023,93,86,0,181,51.38121547,47.51381215,0,-0.285451197,0.847145488,-1.666666667
SUFFOLK UNIVERSITY,MASSACHUSETTS,2017,98,73,0,171,57.30994152,42.69005848,0,NA,NA,NA
SUFFOLK UNIVERSITY,MASSACHUSETTS,2018,95,72,0,167,56.88622754,43.11377246,0,-0.423713976,0.423713976,0
SUFFOLK UNIVERSITY,MASSACHUSETTS,2019,97,74,0,171,56.7251462,43.2748538,0,-0.161081346,0.161081346,0
SUFFOLK UNIVERSITY,MASSACHUSETTS,2020,102,77,0,179,56.98324022,43.01675978,0,0.258094025,-0.258094025,0
SUFFOLK UNIVERSITY,MASSACHUSETTS,2021,89,64,0,153,58.16993464,41.83006536,0,1.186694417,-1.186694417,0
SUFFOLK UNIVERSITY,MASSACHUSETTS,2022,93,65,0,158,58.86075949,41.13924051,0,0.690824853,-0.690824853,0
SUFFOLK UNIVERSITY,MASSACHUSETTS,2023,95,68,0,163,58.28220859,41.71779141,0,-0.578550905,0.578550905,0
SYRACUSE UNIVERSITY,NEW YORK,2017,56,40,0,96,58.33333333,41.66666667,0,NA,NA,NA
SYRACUSE UNIVERSITY,NEW YORK,2018,61,31,0,92,66.30434783,33.69565217,0,7.971014493,-7.971014493,0
SYRACUSE UNIVERSITY,NEW YORK,2019,60,34,0,94,63.82978723,36.17021277,0,-2.474560592,2.474560592,0
SYRACUSE UNIVERSITY,NEW YORK,2020,59,41,0,100,59,41,0,-4.829787234,4.829787234,0
SYRACUSE UNIVERSITY,NEW YORK,2021,53,41,0,94,56.38297872,43.61702128,0,-2.617021277,2.617021277,0
SYRACUSE UNIVERSITY,NEW YORK,2022,53,35,0,88,60.22727273,39.77272727,0,3.844294004,-3.844294004,0
SYRACUSE UNIVERSITY,NEW YORK,2023,54,38,0,92,58.69565217,41.30434783,0,-1.531620553,1.531620553,0
TEMPLE UNIVERSITY,PENNSYLVANIA,2017,117,84,1,202,57.92079208,41.58415842,0.495049505,NA,NA,NA
TEMPLE UNIVERSITY,PENNSYLVANIA,2018,115,72,2,189,60.84656085,38.0952381,1.058201058,2.925768767,-3.488920321,0.563151553
TEMPLE UNIVERSITY,PENNSYLVANIA,2019,114,78,0,192,59.375,40.625,0,-1.471560847,2.529761905,-1.058201058
TEMPLE UNIVERSITY,PENNSYLVANIA,2020,107,82,0,189,56.61375661,43.38624339,0,-2.761243386,2.761243386,0
TEMPLE UNIVERSITY,PENNSYLVANIA,2021,109,89,0,198,55.05050505,44.94949495,0,-1.563251563,1.563251563,0
TEMPLE UNIVERSITY,PENNSYLVANIA,2022,116,99,0,216,53.7037037,45.83333333,0,-1.346801347,0.883838384,0
TEMPLE UNIVERSITY,PENNSYLVANIA,2023,116,108,0,224,51.78571429,48.21428571,0,-1.917989418,2.380952381,0
"TENNESSEE, UNIVERSITY OF",TENNESSEE,2017,75,55,0,130,57.69230769,42.30769231,0,NA,NA,NA
"TENNESSEE, UNIVERSITY OF",TENNESSEE,2018,58,43,0,101,57.42574257,42.57425743,0,-0.266565118,0.266565118,0
"TENNESSEE, UNIVERSITY OF",TENNESSEE,2019,55,38,0,93,59.13978495,40.86021505,0,1.714042372,-1.714042372,0
"TENNESSEE, UNIVERSITY OF",TENNESSEE,2020,58,37,0,95,61.05263158,38.94736842,0,1.912846633,-1.912846633,0
"TENNESSEE, UNIVERSITY OF",TENNESSEE,2021,52,41,0,93,55.91397849,44.08602151,0,-5.138653084,5.138653084,0
"TENNESSEE, UNIVERSITY OF",TENNESSEE,2022,58,40,0,98,59.18367347,40.81632653,0,3.269694975,-3.269694975,0
"TENNESSEE, UNIVERSITY OF",TENNESSEE,2023,61,41,0,102,59.80392157,40.19607843,0,0.620248099,-0.620248099,0
TEXAS A&M UNIVERSITY,TEXAS,2017,73,45,0,118,61.86440678,38.13559322,0,NA,NA,NA
TEXAS A&M UNIVERSITY,TEXAS,2018,61,42,0,103,59.22330097,40.77669903,0,-2.641105809,2.641105809,0
TEXAS A&M UNIVERSITY,TEXAS,2019,59,44,0,103,57.2815534,42.7184466,0,-1.941747573,1.941747573,0
TEXAS A&M UNIVERSITY,TEXAS,2020,60,49,0,109,55.04587156,44.95412844,0,-2.235681838,2.235681838,0
TEXAS A&M UNIVERSITY,TEXAS,2021,59,53,0,112,52.67857143,47.32142857,0,-2.367300131,2.367300131,0
TEXAS A&M UNIVERSITY,TEXAS,2022,70,49,0,119,58.82352941,41.17647059,0,6.144957983,-6.144957983,0
TEXAS A&M UNIVERSITY,TEXAS,2023,86,60,0,146,58.90410959,41.09589041,0,0.080580177,-0.080580177,0
"TEXAS AT AUSTIN, UNIVERSITY OF",TEXAS,2017,175,84,0,259,67.56756757,32.43243243,0,NA,NA,NA
"TEXAS AT AUSTIN, UNIVERSITY OF",TEXAS,2018,186,95,0,281,66.19217082,33.80782918,0,-1.375396749,1.375396749,0
"TEXAS AT AUSTIN, UNIVERSITY OF",TEXAS,2019,201,91,0,292,68.83561644,31.16438356,0,2.64344562,-2.64344562,0
"TEXAS AT AUSTIN, UNIVERSITY OF",TEXAS,2020,219,85,0,304,72.03947368,27.96052632,0,3.203857246,-3.203857246,0
"TEXAS AT AUSTIN, UNIVERSITY OF",TEXAS,2021,195,86,0,281,69.39501779,30.60498221,0,-2.644455891,2.644455891,0
"TEXAS AT AUSTIN, UNIVERSITY OF",TEXAS,2022,214,93,0,307,69.70684039,30.29315961,0,0.311822597,-0.311822597,0
"TEXAS AT AUSTIN, UNIVERSITY OF",TEXAS,2023,213,98,0,311,68.48874598,31.51125402,0,-1.21809441,1.21809441,0
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,NA,2017,29,33,0,62,46.77419355,53.22580645,0,NA,NA,NA
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,NA,2018,40,51,0,91,43.95604396,56.04395604,0,-2.818149592,2.818149592,0
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,NA,2019,38,57,0,95,40,60,0,-3.956043956,3.956043956,0
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,NA,2020,33,59,0,92,35.86956522,64.13043478,0,-4.130434783,4.130434783,0
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,NA,2021,31,55,0,86,36.04651163,63.95348837,0,0.176946411,-0.176946411,0
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,NA,2022,39,53,0,92,42.39130435,57.60869565,0,6.34479272,-6.34479272,0
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,NA,2023,34,49,0,83,40.96385542,59.03614458,0,-1.427448926,1.427448926,0
TEXAS TECH UNIVERSITY,TEXAS,2017,44,28,0,72,61.11111111,38.88888889,0,NA,NA,NA
TEXAS TECH UNIVERSITY,TEXAS,2018,41,25,0,66,62.12121212,37.87878788,0,1.01010101,-1.01010101,0
TEXAS TECH UNIVERSITY,TEXAS,2019,36,22,0,58,62.06896552,37.93103448,0,-0.052246604,0.052246604,0
TEXAS TECH UNIVERSITY,TEXAS,2020,36,23,0,59,61.01694915,38.98305085,0,-1.052016365,1.052016365,0
TEXAS TECH UNIVERSITY,TEXAS,2021,37,21,0,58,63.79310345,36.20689655,0,2.776154296,-2.776154296,0
TEXAS TECH UNIVERSITY,TEXAS,2022,37,21,0,58,63.79310345,36.20689655,0,0,0,0
TEXAS TECH UNIVERSITY,TEXAS,2023,41,27,0,68,60.29411765,39.70588235,0,-3.498985801,3.498985801,0
"TOLEDO, UNIVERSITY OF",OHIO,2017,39,22,0,61,63.93442623,36.06557377,0,NA,NA,NA
"TOLEDO, UNIVERSITY OF",OHIO,2018,28,15,0,43,65.11627907,34.88372093,0,1.18185284,-1.18185284,0
"TOLEDO, UNIVERSITY OF",OHIO,2019,26,17,0,43,60.46511628,39.53488372,0,-4.651162791,4.651162791,0
"TOLEDO, UNIVERSITY OF",OHIO,2020,24,19,0,43,55.81395349,44.18604651,0,-4.651162791,4.651162791,0
"TOLEDO, UNIVERSITY OF",OHIO,2021,19,14,0,33,57.57575758,42.42424242,0,1.761804087,-1.761804087,0
"TOLEDO, UNIVERSITY OF",OHIO,2022,22,20,0,42,52.38095238,47.61904762,0,-5.194805195,5.194805195,0
"TOLEDO, UNIVERSITY OF",OHIO,2023,28,27,0,55,50.90909091,49.09090909,0,-1.471861472,1.471861472,0
TOURO UNIVERSITY,NEW YORK,2017,56,44,0,100,56,44,0,NA,NA,NA
TOURO UNIVERSITY,NEW YORK,2018,57,37,0,94,60.63829787,39.36170213,0,4.638297872,-4.638297872,0
TOURO UNIVERSITY,NEW YORK,2019,49,34,0,83,59.03614458,40.96385542,0,-1.602153294,1.602153294,0
TOURO UNIVERSITY,NEW YORK,2020,48,32,0,80,60,40,0,0.963855422,-0.963855422,0
TOURO UNIVERSITY,NEW YORK,2021,49,43,0,92,53.26086957,46.73913043,0,-6.739130435,6.739130435,0
TOURO UNIVERSITY,NEW YORK,2022,41,45,0,86,47.6744186,52.3255814,0,-5.586450961,5.586450961,0
TOURO UNIVERSITY,NEW YORK,2023,45,46,0,92,48.91304348,50,0,1.238624874,-2.325581395,0
TULANE UNIVERSITY,LOUISIANA,2017,93,42,0,135,68.88888889,31.11111111,0,NA,NA,NA
TULANE UNIVERSITY,LOUISIANA,2018,108,40,0,148,72.97297297,27.02702703,0,4.084084084,-4.084084084,0
TULANE UNIVERSITY,LOUISIANA,2019,113,49,0,162,69.75308642,30.24691358,0,-3.219886553,3.219886553,0
TULANE UNIVERSITY,LOUISIANA,2020,102,46,0,148,68.91891892,31.08108108,0,-0.834167501,0.834167501,0
TULANE UNIVERSITY,LOUISIANA,2021,76,41,0,117,64.95726496,35.04273504,0,-3.961653962,3.961653962,0
TULANE UNIVERSITY,LOUISIANA,2022,76,46,0,122,62.29508197,37.70491803,0,-2.66218299,2.66218299,0
TULANE UNIVERSITY,LOUISIANA,2023,81,42,0,123,65.85365854,34.14634146,0,3.558576569,-3.558576569,0
"TULSA, UNIVERSITY OF",OKLAHOMA,2017,23,28,0,51,45.09803922,54.90196078,0,NA,NA,NA
"TULSA, UNIVERSITY OF",OKLAHOMA,2018,28,27,0,55,50.90909091,49.09090909,0,5.811051693,-5.811051693,0
"TULSA, UNIVERSITY OF",OKLAHOMA,2019,28,25,0,53,52.83018868,47.16981132,0,1.92109777,-1.92109777,0
"TULSA, UNIVERSITY OF",OKLAHOMA,2020,25,24,0,49,51.02040816,48.97959184,0,-1.809780516,1.809780516,0
"TULSA, UNIVERSITY OF",OKLAHOMA,2021,24,26,0,50,48,52,0,-3.020408163,3.020408163,0
"TULSA, UNIVERSITY OF",OKLAHOMA,2022,26,27,0,53,49.05660377,50.94339623,0,1.056603774,-1.056603774,0
"TULSA, UNIVERSITY OF",OKLAHOMA,2023,32,32,0,64,50,50,0,0.943396226,-0.943396226,0
UNIVERSITY OF BUFFALO-SUNY,NEW YORK,2017,83,55,0,138,60.14492754,39.85507246,0,NA,NA,NA
UNIVERSITY OF BUFFALO-SUNY,NEW YORK,2018,75,55,0,130,57.69230769,42.30769231,0,-2.452619844,2.452619844,0
UNIVERSITY OF BUFFALO-SUNY,NEW YORK,2019,66,50,0,116,56.89655172,43.10344828,0,-0.795755968,0.795755968,0
UNIVERSITY OF BUFFALO-SUNY,NEW YORK,2020,70,49,0,119,58.82352941,41.17647059,0,1.926977688,-1.926977688,0
UNIVERSITY OF BUFFALO-SUNY,NEW YORK,2021,55,47,0,102,53.92156863,46.07843137,0,-4.901960784,4.901960784,0
UNIVERSITY OF BUFFALO-SUNY,NEW YORK,2022,53,44,0,97,54.63917526,45.36082474,0,0.71760663,-0.71760663,0
UNIVERSITY OF BUFFALO-SUNY,NEW YORK,2023,63,55,0,118,53.38983051,46.61016949,0,-1.249344749,1.249344749,0
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",CALIFORNIA,2017,134,99,0,233,57.51072961,42.48927039,0,NA,NA,NA
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",CALIFORNIA,2018,147,106,0,253,58.1027668,41.8972332,0,0.592037185,-0.592037185,0
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",CALIFORNIA,2019,122,97,0,219,55.70776256,44.29223744,0,-2.395004241,2.395004241,0
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",CALIFORNIA,2020,135,88,0,223,60.53811659,39.46188341,0,4.830354035,-4.830354035,0
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",CALIFORNIA,2021,132,92,0,224,58.92857143,41.07142857,0,-1.609545163,1.609545163,0
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",CALIFORNIA,2022,148,108,0,256,57.8125,42.1875,0,-1.116071429,1.116071429,0
"UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",CALIFORNIA,2023,155,120,0,279,55.55555556,43.01075269,0,-2.256944444,0.823252688,0
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,ILLINOIS,2017,160,89,0,249,64.25702811,35.74297189,0,NA,NA,NA
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,ILLINOIS,2018,119,76,0,195,61.02564103,38.97435897,0,-3.231387087,3.231387087,0
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,ILLINOIS,2019,108,75,0,183,59.01639344,40.98360656,0,-2.009247583,2.009247583,0
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,ILLINOIS,2020,106,74,0,180,58.88888889,41.11111111,0,-0.127504554,0.127504554,0
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,ILLINOIS,2021,109,86,0,195,55.8974359,44.1025641,0,-2.991452991,2.991452991,0
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,ILLINOIS,2022,95,82,0,177,53.67231638,46.32768362,0,-2.225119513,2.225119513,0
UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW,ILLINOIS,2023,99,89,0,188,52.65957447,47.34042553,0,-1.012741916,1.012741916,0
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,MASSACHUSETTS,2017,24,17,0,41,58.53658537,41.46341463,0,NA,NA,NA
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,MASSACHUSETTS,2018,23,17,0,40,57.5,42.5,0,-1.036585366,1.036585366,0
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,MASSACHUSETTS,2019,24,14,0,38,63.15789474,36.84210526,0,5.657894737,-5.657894737,0
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,MASSACHUSETTS,2020,28,17,0,45,62.22222222,37.77777778,0,-0.935672515,0.935672515,0
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,MASSACHUSETTS,2021,30,18,0,48,62.5,37.5,0,0.277777778,-0.277777778,0
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,MASSACHUSETTS,2022,35,25,0,60,58.33333333,41.66666667,0,-4.166666667,4.166666667,0
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,MASSACHUSETTS,2023,41,18,0,59,69.49152542,30.50847458,0,11.15819209,-11.15819209,0
