School.List,State,Year,ST.Total.White,ST.Total.Bipoc,ST.Total,percent_bipoc,percent_white,year_change
"UTAH, UNIVERSITY OF",UTAH,2021,75,17,92,18.47826087,81.52173913,5.9783
"UTAH, UNIVERSITY OF",UTAH,2022,80,15,95,15.78947368,84.21052632,-2.6888
"UTAH, UNIVERSITY OF",UTAH,2023,82,12,94,12.76595745,87.23404255,-3.0235
VANDERBILT UNIVERSITY,TENNESSEE,2017,105,49,154,31.81818182,68.18181818,NA
VANDERBILT UNIVERSITY,TENNESSEE,2018,121,50,171,29.23976608,70.76023392,-2.5784
VANDERBILT UNIVERSITY,TENNESSEE,2019,129,38,167,22.75449102,77.24550898,-6.4853
VANDERBILT UNIVERSITY,TENNESSEE,2020,134,38,172,22.09302326,77.90697674,-0.6615
VANDERBILT UNIVERSITY,TENNESSEE,2021,99,51,150,34,66,11.907
VANDERBILT UNIVERSITY,TENNESSEE,2022,99,48,147,32.65306122,67.34693878,-1.3469
VANDERBILT UNIVERSITY,TENNESSEE,2023,101,61,162,37.65432099,62.34567901,5.0013
VERMONT LAW SCHOOL,VERMONT,2017,109,34,143,23.77622378,76.22377622,NA
VERMONT LAW SCHOOL,VERMONT,2018,125,43,168,25.5952381,74.4047619,1.819
VERMONT LAW SCHOOL,VERMONT,2019,95,44,139,31.65467626,68.34532374,6.0594
VERMONT LAW SCHOOL,VERMONT,2020,88,35,123,28.45528455,71.54471545,-3.1994
VERMONT LAW SCHOOL,VERMONT,2021,112,40,152,26.31578947,73.68421053,-2.1395
VERMONT LAW SCHOOL,VERMONT,2022,113,43,156,27.56410256,72.43589744,1.2483
VERMONT LAW SCHOOL,VERMONT,2023,130,60,190,31.57894737,68.42105263,4.0148
VILLANOVA UNIVERSITY,PENNSYLVANIA,2017,133,38,171,22.22222222,77.77777778,NA
VILLANOVA UNIVERSITY,PENNSYLVANIA,2018,135,40,175,22.85714286,77.14285714,0.6349
VILLANOVA UNIVERSITY,PENNSYLVANIA,2019,140,34,174,19.54022989,80.45977011,-3.3169
VILLANOVA UNIVERSITY,PENNSYLVANIA,2020,149,25,174,14.36781609,85.63218391,-5.1724
VILLANOVA UNIVERSITY,PENNSYLVANIA,2021,165,50,215,23.25581395,76.74418605,8.888
VILLANOVA UNIVERSITY,PENNSYLVANIA,2022,130,47,177,26.55367232,73.44632768,3.2979
VILLANOVA UNIVERSITY,PENNSYLVANIA,2023,113,41,154,26.62337662,73.37662338,0.0697
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2017,240,67,307,21.82410423,78.17589577,NA
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2018,234,72,306,23.52941176,76.47058824,1.7053
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2019,249,73,322,22.67080745,77.32919255,-0.8586
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2020,206,82,288,28.47222222,71.52777778,5.8014
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2021,195,97,292,33.21917808,66.78082192,4.747
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2022,194,104,298,34.89932886,65.10067114,1.6802
"VIRGINIA, UNIVERSITY OF",VIRGINIA,2023,184,110,294,37.41496599,62.58503401,2.5156
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2017,115,37,152,24.34210526,75.65789474,NA
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2018,146,31,177,17.51412429,82.48587571,-6.828
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2019,156,54,210,25.71428571,74.28571429,8.2002
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2020,60,26,86,30.23255814,69.76744186,4.5183
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2021,119,47,166,28.31325301,71.68674699,-1.9193
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2022,123,31,154,20.12987013,79.87012987,-8.1834
WAKE FOREST UNIVERSITY,NORTH CAROLINA,2023,135,32,167,19.16167665,80.83832335,-0.9682
WASHBURN UNIVERSITY,KANSAS,2017,85,24,109,22.01834862,77.98165138,NA
WASHBURN UNIVERSITY,KANSAS,2018,91,17,108,15.74074074,84.25925926,-6.2776
WASHBURN UNIVERSITY,KANSAS,2019,76,22,98,22.44897959,77.55102041,6.7082
WASHBURN UNIVERSITY,KANSAS,2020,84,23,107,21.4953271,78.5046729,-0.9537
WASHBURN UNIVERSITY,KANSAS,2021,73,19,92,20.65217391,79.34782609,-0.8432
WASHBURN UNIVERSITY,KANSAS,2022,55,28,83,33.73493976,66.26506024,13.0828
WASHBURN UNIVERSITY,KANSAS,2023,76,23,99,23.23232323,76.76767677,-10.5026
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2017,96,29,125,23.2,76.8,NA
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2018,92,25,117,21.36752137,78.63247863,-1.8325
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2019,67,29,96,30.20833333,69.79166667,8.8408
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2020,84,27,111,24.32432432,75.67567568,-5.884
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2021,110,28,138,20.28985507,79.71014493,-4.0345
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2022,70,30,100,30,70,9.7101
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2023,53,39,92,42.39130435,57.60869565,12.3913
WASHINGTON UNIVERSITY,MISSOURI,2017,149,68,217,31.33640553,68.66359447,NA
WASHINGTON UNIVERSITY,MISSOURI,2018,144,59,203,29.06403941,70.93596059,-2.2724
WASHINGTON UNIVERSITY,MISSOURI,2019,155,44,199,22.11055276,77.88944724,-6.9535
WASHINGTON UNIVERSITY,MISSOURI,2020,164,48,212,22.64150943,77.35849057,0.531
