School.List,State,Year,ST.Total.White,ST.Total.Bipoc,ST.Total,percent_bipoc,percent_white,year_change
WASHINGTON UNIVERSITY,MISSOURI,2021,183,62,245,25.30612245,74.69387755,2.6646
WASHINGTON UNIVERSITY,MISSOURI,2022,162,67,229,29.25764192,70.74235808,3.9515
WASHINGTON UNIVERSITY,MISSOURI,2023,134,69,203,33.99014778,66.00985222,4.7325
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2017,104,42,146,28.76712329,71.23287671,NA
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2018,106,52,158,32.91139241,67.08860759,4.1443
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2019,110,39,149,26.17449664,73.82550336,-6.7369
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2020,97,59,156,37.82051282,62.17948718,11.646
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2021,91,68,159,42.7672956,57.2327044,4.9468
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2022,102,69,171,40.35087719,59.64912281,-2.4164
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2023,98,68,166,40.96385542,59.03614458,0.613
WAYNE STATE UNIVERSITY,MICHIGAN,2017,125,31,156,19.87179487,80.12820513,NA
WAYNE STATE UNIVERSITY,MICHIGAN,2018,101,14,115,12.17391304,87.82608696,-7.6979
WAYNE STATE UNIVERSITY,MICHIGAN,2019,92,19,111,17.11711712,82.88288288,4.9432
WAYNE STATE UNIVERSITY,MICHIGAN,2020,93,23,116,19.82758621,80.17241379,2.7105
WAYNE STATE UNIVERSITY,MICHIGAN,2021,91,23,114,20.1754386,79.8245614,0.3479
WAYNE STATE UNIVERSITY,MICHIGAN,2022,104,15,119,12.60504202,87.39495798,-7.5704
WAYNE STATE UNIVERSITY,MICHIGAN,2023,100,18,118,15.25423729,84.74576271,2.6492
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2017,97,12,109,11.00917431,88.99082569,NA
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2018,98,12,110,10.90909091,89.09090909,-0.1001
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2019,104,11,115,9.565217391,90.43478261,-1.3439
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2020,102,9,111,8.108108108,91.89189189,-1.4571
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2021,108,8,116,6.896551724,93.10344828,-1.2116
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2022,90,12,102,11.76470588,88.23529412,4.8682
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2023,87,17,104,16.34615385,83.65384615,4.5814
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2017,56,31,87,35.63218391,64.36781609,NA
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2018,60,20,80,25,75,-10.6322
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2019,75,23,98,23.46938776,76.53061224,-1.5306
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2020,84,37,121,30.5785124,69.4214876,7.1091
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2021,83,26,109,23.85321101,76.14678899,-6.7253
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2022,65,25,90,27.77777778,72.22222222,3.9246
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2023,50,30,80,37.5,62.5,9.7222
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2017,79,113,192,58.85416667,41.14583333,NA
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2018,54,104,158,65.82278481,34.17721519,6.9686
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2019,9,13,22,59.09090909,40.90909091,-6.7319
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2020,34,49,83,59.03614458,40.96385542,-0.0548
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2021,47,60,107,56.07476636,43.92523364,-2.9614
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2022,51,78,129,60.46511628,39.53488372,4.3903
WESTERN STATE COLLEGE OF LAW,CALIFORNIA,2023,52,68,120,56.66666667,43.33333333,-3.7984
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2017,224,70,294,23.80952381,76.19047619,NA
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2018,151,50,201,24.87562189,75.12437811,1.0661
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2019,173,50,223,22.42152466,77.57847534,-2.4541
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2020,175,66,241,27.38589212,72.61410788,4.9644
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2021,173,86,259,33.2046332,66.7953668,5.8187
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2022,166,65,231,28.13852814,71.86147186,-5.0661
WIDENER UNIVERSITY-DELAWARE,DELAWARE,2023,160,71,231,30.73593074,69.26406926,2.5974
WIDENER-COMMONWEALTH,PENNSYLVANIA,2017,110,44,154,28.57142857,71.42857143,NA
WIDENER-COMMONWEALTH,PENNSYLVANIA,2018,87,32,119,26.8907563,73.1092437,-1.6807
WIDENER-COMMONWEALTH,PENNSYLVANIA,2019,76,34,110,30.90909091,69.09090909,4.0183
WIDENER-COMMONWEALTH,PENNSYLVANIA,2020,77,34,111,30.63063063,69.36936937,-0.2785
WIDENER-COMMONWEALTH,PENNSYLVANIA,2021,76,46,122,37.70491803,62.29508197,7.0743
WIDENER-COMMONWEALTH,PENNSYLVANIA,2022,87,51,138,36.95652174,63.04347826,-0.7484
WIDENER-COMMONWEALTH,PENNSYLVANIA,2023,100,40,140,28.57142857,71.42857143,-8.3851
WILLAMETTE UNIVERSITY,OREGON,2017,76,30,106,28.30188679,71.69811321,NA
WILLAMETTE UNIVERSITY,OREGON,2018,91,32,123,26.01626016,73.98373984,-2.2856
WILLAMETTE UNIVERSITY,OREGON,2019,87,30,117,25.64102564,74.35897436,-0.3752
WILLAMETTE UNIVERSITY,OREGON,2020,76,37,113,32.74336283,67.25663717,7.1023
WILLAMETTE UNIVERSITY,OREGON,2021,92,37,129,28.68217054,71.31782946,-4.0612
WILLAMETTE UNIVERSITY,OREGON,2022,87,25,112,22.32142857,77.67857143,-6.3607
WILLAMETTE UNIVERSITY,OREGON,2023,70,44,114,38.59649123,61.40350877,16.2751
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2017,142,29,171,16.95906433,83.04093567,NA
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2018,150,27,177,15.25423729,84.74576271,-1.7048
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2019,186,32,218,14.67889908,85.32110092,-0.5753
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2020,180,30,210,14.28571429,85.71428571,-0.3932
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2021,129,29,158,18.35443038,81.64556962,4.0687
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2022,154,42,196,21.42857143,78.57142857,3.0741
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2023,109,31,140,22.14285714,77.85714286,0.7143
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2017,126,32,158,20.25316456,79.74683544,NA
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2018,202,55,257,21.40077821,78.59922179,1.1476
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2019,163,50,213,23.4741784,76.5258216,2.0734
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2020,172,62,234,26.4957265,73.5042735,3.0215
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2021,194,78,272,28.67647059,71.32352941,2.1807
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2022,176,56,232,24.13793103,75.86206897,-4.5385
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2023,122,44,166,26.5060241,73.4939759,2.3681
"WYOMING, UNIVERSITY OF",WYOMING,2017,66,5,71,7.042253521,92.95774648,NA
"WYOMING, UNIVERSITY OF",WYOMING,2018,77,7,84,8.333333333,91.66666667,1.2911
"WYOMING, UNIVERSITY OF",WYOMING,2019,54,14,68,20.58823529,79.41176471,12.2549
"WYOMING, UNIVERSITY OF",WYOMING,2020,66,9,75,12,88,-8.5882
"WYOMING, UNIVERSITY OF",WYOMING,2021,65,9,74,12.16216216,87.83783784,0.1622
"WYOMING, UNIVERSITY OF",WYOMING,2022,55,16,71,22.53521127,77.46478873,10.373
"WYOMING, UNIVERSITY OF",WYOMING,2023,63,12,75,16,84,-6.5352
YALE UNIVERSITY,CONNECTICUT,2017,103,81,184,44.02173913,55.97826087,NA
YALE UNIVERSITY,CONNECTICUT,2018,109,83,192,43.22916667,56.77083333,-0.7926
YALE UNIVERSITY,CONNECTICUT,2019,105,98,203,48.27586207,51.72413793,5.0467
YALE UNIVERSITY,CONNECTICUT,2020,99,107,206,51.94174757,48.05825243,3.6659
YALE UNIVERSITY,CONNECTICUT,2021,90,104,194,53.60824742,46.39175258,1.6665
YALE UNIVERSITY,CONNECTICUT,2022,84,97,181,53.59116022,46.40883978,-0.0171
YALE UNIVERSITY,CONNECTICUT,2023,84,103,187,55.0802139,44.9197861,1.4891
